conflict_new_id,conflict_name,dyad_new_id,dyad_name,type_of_violence,active_year,country,conflict_dyad,dyad_ep_start,dyad_ep_end,dyad_recurrence_date,dyad_ep_id,conf_ep_start,conf_ep_end,conf_recurrence_date,conf_ep_id,location,incompatibility,territory_name,type_of_conflict,region,conf_subid,conf_recurrence,confactor_recurrence,dyad_recurrence,factions,link_type_1,link_id_1,link_type_2,link_id_2,link_type_3,link_id_3,link_type_4,link_id_4,link_type_5,link_id_5,link_type_6,link_id_6,dyad_recurrence_years,conf_recurrence_years,conf_ep_low,conf_ep_best,conf_ep_high,dyad_ep_low,dyad_ep_best,dyad_ep_high,conf_ep_freq,dyad_ep_freq,cont_dyad,cont_conf
205,Iran: Kurdistan,406,Government of Iran - KDPI,1,1,Iran,205_406,4/17/1990,7/28/1996,5/3/2016,205_406_1996,4/17/1990,7/28/1996,5/3/2016,205_1996,Iran,1,Kurdistan,3,2,1,1,1,1,,3,354_781_2018,,,,,,,,,,,20,20,207,207,532,207,207,532,37,37,0,0
205,Iran: Kurdistan,406,Government of Iran - KDPI,1,1,Iran,205_406,5/3/2016,10/12/2018,,205_406_2018,5/3/2016,10/12/2018,,205_2018,Iran,1,Kurdistan,3,2,1,0,0,0,,3,338_754_2018,3,354_781_2018,,,,,,,,,,,65,76,222,65,76,222,23,23,0,0
209,Philippines: Government,411,Government of Philippines - CPP,1,1,Philippines,209_411,1/1/1989,12/29/2018,,209_411_2018,1/1/1989,12/29/2018,,209_2018,Philippines,2,,3,3,1,0,0,0,,,,,,,,,,,,,,,,8012,8104,10842,7890,7982,10698,1702,1695,0,0
209,Philippines: Government,412,"Government of Philippines - Military faction (forces of Honasan, Abenina & Zumel)",1,1,Philippines,209_412,12/1/1989,9/11/1990,,209_412_1990,1/1/1989,12/29/2018,,209_2018,Philippines,2,,3,3,1,0,0,0,,,,,,,,,,,,,,,,8012,8104,10842,122,122,144,1702,7,0,0
218,India - Pakistan,422,Government of India - Government of Pakistan,1,1,India,218_422,1/1/1989,11/22/2003,5/19/2008,218_422_2003,1/1/1989,11/22/2003,5/19/2008,218_2003,"India, Pakistan",1,Kashmir,2,3,1,1,1,1,,3,364_2018,,,,,,,,,,,5,5,1482,1511,2261,1482,1511,2261,263,263,0,0
218,India - Pakistan,422,Government of India - Government of Pakistan,1,0,India,218_422,5/19/2008,9/22/2008,1/11/2010,218_422_2008,5/19/2008,9/22/2008,1/11/2010,218_2008,"India, Pakistan",1,Kashmir,2,3,1,1,1,1,,3,364_2018,,,,,,,,,,,2,2,1,1,5,1,1,5,3,3,0,0
218,India - Pakistan,422,Government of India - Government of Pakistan,1,1,Pakistan,218_422,1/11/2010,12/31/2018,,218_422_2018,1/11/2010,12/31/2018,,218_2018,"India, Pakistan",1,Kashmir,2,3,1,0,0,0,,3,364_2018,,,,,,,,,,,,,406,413,487,406,413,487,239,239,0,0
220,Paraguay: Government,426,Government of Paraguay - Military faction (forces of Andres Rodriguez),1,1,Paraguay,220_426,2/3/1989,2/3/1989,,220_426_1989,2/3/1989,2/3/1989,,220_1989,Paraguay,2,,3,5,1,0,0,5,,,,,,,,,,,,,,,,17,150,300,17,150,300,1,1,0,0
221,Myanmar (Burma): Karen,428,Government of Myanmar (Burma) - KNU,1,1,Myanmar (Burma),221_428,1/1/1989,7/13/1995,2/11/1997,221_428_1995,1/1/1989,7/13/1995,2/11/1997,221_1995,Myanmar (Burma),1,Karen,3,3,1,1,2,2,1,1,221_429_2001,,,,,,,,,,,2,2,2915,3254,3876,2915,3254,3876,99,99,0,0
221,Myanmar (Burma): Karen,428,Government of Myanmar (Burma) - KNU,1,0,Myanmar (Burma),221_428,2/11/1997,8/5/2012,9/9/2014,221_428_2012,2/11/1997,9/30/2015,4/5/2018,221_2015,Myanmar (Burma),1,Karen,3,3,1,1,2,1,,,,,,,,,,,,,,2,3,1230,1296,2486,933,997,2180,271,231,0,0
221,Myanmar (Burma): Karen,428,Government of Myanmar (Burma) - KNU,1,0,Myanmar (Burma),221_428,9/9/2014,9/30/2015,4/5/2018,221_428_2015,2/11/1997,9/30/2015,4/5/2018,221_2015,Myanmar (Burma),1,Karen,3,3,1,1,2,1,,,,,,,,,,,,,,3,3,1230,1296,2486,7,7,7,271,6,0,0
221,Myanmar (Burma): Karen,428,Government of Myanmar (Burma) - KNU,1,0,Myanmar (Burma),221_428,4/5/2018,4/5/2018,,221_428_2018,4/5/2018,4/5/2018,,221_2018,Myanmar (Burma),1,Karen,3,3,1,0,0,0,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,0
221,Myanmar (Burma): Karen,429,Government of Myanmar (Burma) - God's Army,1,0,Thailand,221_429,1/24/2000,1/10/2001,,221_429_2001,2/11/1997,9/30/2015,4/5/2018,221_2015,Myanmar (Burma),1,Karen,3,3,1,1,2,0,2,2,221_428_1995,,,,,,,,,,,,3,1230,1296,2486,49,49,49,271,3,0,0
221,Myanmar (Burma): Karen,430,Government of Myanmar (Burma) - DKBA 5,1,1,Myanmar (Burma),221_430,8/5/2010,8/20/2011,4/26/2013,221_430_2011,2/11/1997,9/30/2015,4/5/2018,221_2015,Myanmar (Burma),1,Karen,3,3,1,1,2,1,,,,,,,,,,,,,,2,3,1230,1296,2486,171,173,178,271,17,0,0
221,Myanmar (Burma): Karen,430,Government of Myanmar (Burma) - DKBA 5,1,0,Myanmar (Burma),221_430,4/26/2013,7/8/2015,,221_430_2015,2/11/1997,9/30/2015,4/5/2018,221_2015,Myanmar (Burma),1,Karen,3,3,1,1,2,0,,,,,,,,,,,,,,,3,1230,1296,2486,70,70,72,271,14,0,0
222,Myanmar (Burma): Government,434,Government of Myanmar (Burma) - ABSDF,1,1,Myanmar (Burma),222_434,1/1/1990,12/31/1992,1/1/1994,222_434_1992,1/1/1990,12/31/1992,1/1/1994,222_1992,Myanmar (Burma),2,,3,3,1,2,2,1,,,,,,,,,,,,,,2,2,75,75,75,75,75,75,3,3,0,0
222,Myanmar (Burma): Government,434,Government of Myanmar (Burma) - ABSDF,1,1,Myanmar (Burma),222_434,1/1/1994,12/31/1994,11/3/1999,222_434_1994,1/1/1994,5/2/1994,11/3/1999,222_1994,Myanmar (Burma),2,,3,3,1,2,2,2,,,,,,,,,,,,,,5,5,26,26,26,25,25,25,2,1,0,0
