Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency)
"2006,""Netherlands"",""Ethiopia"",5012000,0,5012000,""USD"",""1.000000"",5012000,0,5012000"
"2006,""Norway"",""Ethiopia"",1553277,0,1553277,""USD"",""1.000000"",1553277,0,1553277"
"2006,""Switzerland"",""Ethiopia"",247934,0,247934,""CHF"",""1.210000"",300000.14,0,300000.14"
"2006,""United Kingdom"",""Ethiopia"",8861284,0,8861284,""GBP"",""0.560000"",5000000.2,0,5000000.2"
"2007,""Netherlands"",""Ethiopia"",3395940,0,3395940,""USD"",""1.000000"",3395940,0,3395940"
"2007,""Norway"",""Ethiopia"",2022775.61,0,2022775.61,""NOK"",""5.440000"",10999673.72,0,10999673.72"
"2007,""Norway"",""Haiti"",1833920.19,0,1833920.19,""NOK"",""5.450000"",10000366.8,0,10000366.8"
"2007,""Spain"",""oPt"",4000000,0,4000000,""EUR"",""0.750000"",3000000,0,3000000"
"2007,""Sweden"",""Ethiopia"",577564.8,0,577564.8,""SEK"",""6.930000"",4000213.8,0,4000213.8"
"2007,""Sweden"",""oPt"",1469495.63,0,1469495.63,""SEK"",""6.800000"",9999917.76,0,9999917.76"
"2007,""United Kingdom"",""Ethiopia"",7632793.06,0,7632793.06,""GBP"",""0.500000"",3800000.14,0,3800000.14"
"2007,""United Kingdom"",""Myanmar"",801603.21,0,801603.21,""GBP"",""0.500000"",400000,0,400000"
"2008,""Ireland"",""Ethiopia"",4352602.22,0,4352602.22,""EUR"",""0.750000"",3285000,0,3285000"
"2008,""Italy"",""Ethiopia"",857232.7,0,857232.7,""EUR"",""0.640000"",545200,0,545200"
"2008,""Netherlands"",""Ethiopia"",25675584,0,25675584,""USD"",""1.000000"",25675584,0,25675584"
"2008,""Norway"",""Ethiopia"",2644227.99,0,2644227.99,""NOK"",""5.670000"",14999632.4,0,14999632.4"
"2008,""Norway"",""Haiti"",367060.55,0,367060.55,""NOK"",""5.450000"",2000112.94,0,2000112.94"
"2008,""Norway"",""oPt"",713840.03,0,713840.03,""NOK"",""7.000000"",4999735.57,0,4999735.57"
"2008,""Spain"",""Ethiopia"",1293661.06,0,1293661.06,""EUR"",""0.770000"",1000000,0,1000000"
"2008,""Spain"",""oPt"",918635.17,0,918635.17,""EUR"",""0.760000"",700000,0,700000"
"2008,""Sweden"",""Ethiopia"",4090487.37,0,4090487.37,""SEK"",""7.330000"",29999631.86,0,29999631.86"
"2008,""Sweden"",""Haiti"",2418250.06,0,2418250.06,""SEK"",""7.440000"",17999566.43,0,17999566.43"
"2008,""Sweden"",""oPt"",893735.02,0,893735.02,""SEK"",""7.830000"",6999732.68,0,6999732.68"
"2008,""Switzerland"",""Ethiopia"",689852.77,0,689852.77,""CHF"",""1.160000"",800000,0,800000"
"2008,""United Kingdom"",""Ethiopia"",28489852.18,0,28489852.18,""GBP"",""0.530000"",15000000,0,15000000"
"2008,""United Kingdom"",""Haiti"",921658.99,0,921658.99,""GBP"",""0.650000"",600000,0,600000"
"2008,""United Kingdom"",""Myanmar"",1086956.52,0,1086956.52,""GBP"",""0.510000"",550000,0,550000"
"2009,""Belgium"",""DRC"",2158273.38,0,2158273.38,""EUR "",""0.700000"",1500000,0,1500000"
"2009,""Denmark"",""Ethiopia"",4893091.82,0,4893091.82,""DKK"",""5.110000"",24998806.11,0,24998806.11"
"2009,""Ireland"",""CAR"",1461072,0,1461072,""EUR "",""0.690000"",1015445,0,1015445"
"2009,""Ireland"",""DRC"",738722,0,738722,""EUR "",""0.680000"",499376,0,499376"
"2009,""Ireland"",""Ethiopia"",2033132.53,0,2033132.53,""EUR"",""0.660000"",1350000,0,1350000"
"2009,""Ireland"",""oPt"",661375.66,0,661375.66,""EUR"",""0.760000"",500000,0,500000"
"2009,""Ireland"",""Sudan"",1480372,0,1480372,""EUR "",""0.690000"",1018496,0,1018496"
"2009,""Italy"",""Ethiopia"",1010101,0,1010101,""EUR"",""0.690000"",699999.99,0,699999.99"
"2009,""Luxembourg"",""DRC"",658761.53,0,658761.53,""EUR "",""0.760000"",500000,0,500000"
"2009,""Netherlands"",""CAR"",2941176,0,2941176,""USD "",""1.000000"",2941176,0,2941176"
"2009,""Netherlands"",""DRC"",16999970,0,16999970,""USD "",""1.000000"",16999970,0,16999970"
"2009,""Netherlands"",""Ethiopia"",15441176,0,15441176,""USD"",""1.000000"",15441176,0,15441176"
"2009,""Netherlands"",""oPt"",1102941,0,1102941,""USD"",""1.000000"",1102941,0,1102941"
"2009,""Netherlands"",""Sudan"",23823529,0,23823529,""USD "",""1.000000"",23823529,0,23823529"
"2009,""Norway"",""Colombia"",993484.22,0,993484.22,""NOK"",""5.740000"",5699618.97,0,5699618.97"
"2009,""Norway"",""DRC"",3091160.11,0,3091160.11,""NOK "",""6.430000"",19891615,0,19891615"
"2009,""Norway"",""Ethiopia"",2232764.14,0,2232764.14,""NOK"",""6.270000"",13999874.19,0,13999874.19"
"2009,""Norway"",""oPt"",778258.57,0,778258.57,""NOK"",""6.420000"",5000311.31,0,5000311.31"
"2009,""Norway"",""Sudan"",15866005.71,0,15866005.71,""NOK "",""6.620000"",105066084,0,105066084"
"2009,""Spain"",""Ethiopia"",1443001.44,0,1443001.44,""EUR"",""0.690000"",1000000,0,1000000"
"2009,""Sweden"",""CAR"",2104324.94,0,2104324.94,""SEK "",""6.890000"",14498799,0,14498799"
"2009,""Sweden"",""Colombia"",431790,0,431790,""SEK"",""6.950000"",3000076.92,0,3000076.92"
"2009,""Sweden"",""DRC"",5635488.25,0,5635488.25,""SEK "",""6.950000"",39164780,0,39164780"
"2009,""Sweden"",""DRC"",14201324.45,0,14201324.45,""USD "",""1.000000"",14201324,0,14201324"
"2009,""Sweden"",""Ethiopia"",6476849.86,0,6476849.86,""SEK"",""6.950000"",45001152.83,0,45001152.83"
"2009,""Sweden"",""Myanmar"",1563540.07,0,1563540.07,""SEK"",""7.030000"",10999504.39,0,10999504.39"
"2009,""Sweden"",""oPt"",3072520.04,0,3072520.04,""SEK"",""7.160000"",22000029.8,0,22000029.8"
"2009,""Sweden"",""Sudan"",14742024.34,0,14742024.34,""SEK "",""7.800000"",114927601,0,114927601"
"2009,""Switzerland"",""Ethiopia"",699300.7,0,699300.7,""CHF"",""1.000000"",700000,0,700000"
"2009,""Switzerland"",""oPt"",499500.5,0,499500.5,""CHF"",""1.000000"",500000,0,500000"
"2009,""United Kingdom"",""CAR"",1220000,0,1220000,""GBP "",""0.630000"",766160,0,766160"
"2009,""United Kingdom"",""DRC"",25057500,0,25057500,""USD "",""1.000000"",25057500,0,25057500"
"2009,""United Kingdom"",""Ethiopia"",11173248.41,0,11173248.41,""GBP"",""0.630000"",7000000,0,7000000"
"2009,""United Kingdom"",""Myanmar"",414593.7,0,414593.7,""GBP"",""0.600000"",250000,0,250000"
"2009,""United Kingdom"",""oPt"",1436781.61,0,1436781.61,""GBP"",""0.700000"",1000000,0,1000000"
"2009,""United Kingdom"",""Sudan"",60100166.94,0,60100166.94,""GBP "",""0.600000"",36000000,0,36000000"
"2010,""Afghanistan"",""Haiti"",200000,0,200000,""USD"",""1.000000"",200000,0,200000"
"2010,""Algeria"",""Haiti"",500000,0,500000,""USD"",""1.000000"",500000,0,500000"
"2010,""Andorra"",""Haiti"",69920.17,0,69920.17,""EUR"",""0.710000"",49992.92,0,49992.92"
"2010,""Armenia"",""Haiti"",100000,0,100000,""USD"",""1.000000"",100000,0,100000"
"2010,""Australia"",""Pakistan"",1803000,0,1803000,""AUD"",""1.110000"",1999527,0,1999527"
"2010,""Azerbaijan"",""Haiti"",499978,0,499978,""USD"",""1.000000"",499978,0,499978"
"2010,""Azerbaijan"",""Pakistan"",1999956,0,1999956,""USD"",""1.000000"",1999956,0,1999956"
"2010,""Belgium"",""DRC"",4789721.65,0,4789721.65,""EUR "",""0.730000"",3500000,0,3500000"
"2010,""Benin"",""Haiti"",86000,0,86000,""USD"",""1.000000"",86000,0,86000"
"2010,""Botswana"",""Haiti"",128100,0,128100,""USD"",""1.000000"",128100,0,128100"
"2010,""Botswana"",""Pakistan"",103040,0,103040,""USD"",""1.000000"",103040,0,103040"
"2010,""Brazil"",""Haiti"",7012539.37,0,7012539.37,""USD"",""1.000000"",7012539.37,0,7012539.37"
"2010,""Brunei Darussalam"",""Haiti"",52543.83,0,52543.83,""USD"",""1.000000"",52543.83,0,52543.83"
"2010,""Burundi"",""Haiti"",161186.14,0,161186.14,""USD"",""1.000000"",161186.14,0,161186.14"
"2010,""Cambodia"",""Haiti"",60000,0,60000,""USD"",""1.000000"",60000,0,60000"
"2010,""Chile"",""Pakistan"",5000,0,5000,""USD"",""1.000000"",5000,0,5000"
"2010,""Congo, Republic of"",""Haiti"",950000,0,950000,""USD"",""1.000000"",950000,0,950000"
"2010,""Denmark"",""Haiti"",5308352.61,0,5308352.61,""DKK"",""5.370000"",28499515.5,0,28499515.5"
"2010,""Denmark"",""Somalia"",4317416.46,0,4317416.46,""DKK "",""6.030000"",26055608,0,26055608"
"2010,""Denmark"",""Sudan"",4854368.93,0,4854368.93,""DKK "",""5.150000"",25000000,0,25000000"
"2010,""Denmark"",""Yemen"",876650.23,0,876650.23,""DKK"",""5.700000"",5000412.91,0,5000412.91"
"2010,""Equatorial Guinea"",""Haiti"",1999977,0,1999977,""USD"",""1.000000"",1999977,0,1999977"
"2010,""Finland"",""Somalia"",2617200,0,2617200,""EUR "",""0.760000"",1996924,0,1996924"
"2010,""France"",""Haiti"",6747638.33,0,6747638.33,""EUR"",""0.740000"",5000000,0,5000000"
"2010,""Gabon"",""Haiti"",1000000,0,1000000,""USD"",""1.000000"",1000000,0,1000000"
"2010,""India"",""Pakistan"",20000000,0,20000000,""USD"",""1.000000"",20000000,0,20000000"
"2010,""Indonesia"",""Haiti"",50000,0,50000,""USD"",""1.000000"",50000,0,50000"
"2010,""Ireland"",""CAR"",3052382.67,0,3052382.67,""EUR "",""0.770000"",2346094,0,2346094"
"2010,""Ireland"",""DRC"",4372682.67,0,4372682.67,""EUR "",""0.760000"",3324437,0,3324437"
"2010,""Ireland"",""Haiti"",127064.8,0,127064.8,""EUR"",""0.790000"",100000,0,100000"
"2010,""Ireland"",""Somalia"",1291672.01,0,1291672.01,""EUR "",""0.760000"",985546,0,985546"
"2010,""Ireland"",""Sudan"",5032832.67,0,5032832.67,""EUR "",""0.760000"",3813608,0,3813608"
"2010,""Italy"",""Somalia"",2618000,0,2618000,""EUR "",""0.750000"",1955646,0,1955646"
"2010,""Kazakhstan"",""Haiti"",99959,0,99959,""USD"",""1.000000"",99959,0,99959"
"2010,""Kazakhstan"",""Pakistan"",99959,0,99959,""USD"",""1.000000"",99959,0,99959"
"2010,""Kenya"",""Haiti"",1987.33,0,1987.33,""USD"",""1.000000"",1987.33,0,1987.33"
"2010,""Luxembourg"",""DRC"",610500.61,0,610500.61,""EUR "",""0.820000"",500000,0,500000"
"2010,""Macedonia"",""Haiti"",90000,0,90000,""USD"",""1.000000"",90000,0,90000"
"2010,""Madagascar"",""Haiti"",5000,0,5000,""USD"",""1.000000"",5000,0,5000"
"2010,""Malta"",""Haiti"",70028.01,0,70028.01,""EUR"",""0.710000"",50000,0,50000"
"2010,""Malta"",""Pakistan"",12706.48,0,12706.48,""EUR"",""0.790000"",10000,0,10000"
"2010,""Moldova"",""Haiti"",90000,0,90000,""USD"",""1.000000"",90000,0,90000"
"2010,""Mongolia"",""Haiti"",20000,0,20000,""USD"",""1.000000"",20000,0,20000"
"2010,""Netherlands"",""CAR"",2097902,0,2097902,""USD "",""1.000000"",2097902,0,2097902"
"2010,""Netherlands"",""DRC"",7097902,0,7097902,""USD "",""1.000000"",7097902,0,7097902"
"2010,""Netherlands"",""Ethiopia"",9790210,0,9790210,""USD"",""1.000000"",9790210,0,9790210"
"2010,""Netherlands"",""Somalia"",9042657,0,9042657,""USD "",""1.000000"",9042657,0,9042657"
"2010,""Netherlands"",""Sudan"",10209785,0,10209785,""USD "",""1.000000"",10209785,0,10209785"
"2010,""New Zealand"",""Pakistan"",1454880,0,1454880,""NZD"",""1.380000"",2000460,0,2000460"
"2010,""Nigeria"",""Haiti"",2501000,0,2501000,""USD"",""1.000000"",2501000,0,2501000"
"2010,""Norway"",""Colombia"",1005111.66,0,1005111.66,""NOK"",""5.970000"",5999511.5,0,5999511.5"
"2010,""Norway"",""DRC"",3365273.72,0,3365273.72,""NOK "",""5.920000"",19935882,0,19935882"
"2010,""Norway"",""Ethiopia"",747030.74,0,747030.74,""NOK"",""6.690000"",4999876.74,0,4999876.74"
"2010,""Norway"",""oPt"",760184.96,0,760184.96,""NOK"",""6.580000"",4999736.48,0,4999736.48"
"2010,""Norway"",""Pakistan"",3211035.9,0,3211035.9,""NOK"",""6.010000"",19299790.56,0,19299790.56"
"2010,""Norway"",""Somalia"",1700000,0,1700000,""USD "",""1.000000"",1700000,0,1700000"
"2010,""Norway"",""Sudan"",19888824.62,0,19888824.62,""NOK "",""6.030000"",119843376,0,119843376"
"2010,""PRIVATE SECTOR"",""Haiti"",187768.06,0,187768.06,""USD"",""1.000000"",187787.98,0,187787.98"
"2010,""PRIVATE SECTOR"",""Pakistan"",121054.18,0,121054.18,""USD"",""1.000000"",121054.18,0,121054.18"
"2010,""Saudi Arabia"",""Haiti"",50000000,0,50000000,""USD"",""1.000000"",50000000,0,50000000"
"2010,""Sierra Leone"",""Haiti"",100000,0,100000,""USD"",""1.000000"",100000,0,100000"
"2010,""Slovenia"",""Haiti"",277777.78,0,277777.78,""EUR"",""0.720000"",200000,0,200000"
"2010,""Spain"",""Colombia"",674763.83,0,674763.83,""EUR"",""0.740000"",500000,0,500000"
"2010,""Spain"",""DRC"",12517040,0,12517040,""EUR "",""0.750000"",9402359,0,9402359"
"2010,""Spain"",""Ethiopia"",1221001.22,0,1221001.22,""EUR"",""0.820000"",1000000,0,1000000"
"2010,""Spain"",""oPt"",1622398.62,0,1622398.62,""EUR"",""0.740000"",1200000,0,1200000"
"2010,""Spain"",""Sudan"",17132700,0,17132700,""EUR "",""0.750000"",12879840,0,12879840"
"2010,""Sweden"",""CAR"",3998789.94,0,3998789.94,""SEK "",""7.060000"",28247431,0,28247431"
"2010,""Sweden"",""Colombia"",437849.97,0,437849.97,""SEK"",""6.850000"",3000147.99,0,3000147.99"
"2010,""Sweden"",""DRC"",15510049.51,0,15510049.51,""SEK "",""7.140000"",110810011,0,110810011"
"2010,""Sweden"",""Ethiopia"",3696599.84,0,3696599.84,""SEK"",""8.120000"",30001604.3,0,30001604.3"
"2010,""Sweden"",""Haiti"",817559.99,0,817559.99,""SEK"",""7.340000"",6000072.77,0,6000072.77"
"2010,""Sweden"",""Somalia"",1358475,0,1358475,""SEK "",""7.710000"",10479276,0,10479276"
"2010,""Sweden"",""Somalia"",1200000,0,1200000,""USD "",""1.000000"",1200000,0,1200000"
"2010,""Sweden"",""Sudan"",13907975.8,0,13907975.8,""SEK "",""7.230000"",100554665,0,100554665"
"2010,""Sweden"",""Yemen"",951859.95,0,951859.95,""SEK"",""7.350000"",6999978.07,0,6999978.07"
"2010,""Switzerland"",""Somalia"",936182.09,0,936182.09,""CHF "",""0.970000"",908721,0,908721"
"2010,""Tunisia"",""Haiti"",1000000,0,1000000,""USD"",""1.000000"",1000000,0,1000000"
"2010,""Uganda"",""Haiti"",100000,0,100000,""USD"",""1.000000"",100000,0,100000"
"2010,""UN and Other Agencies"",""Haiti"",1070867.25,0,1070867.25,""USD"",""1.000000"",1070867.25,0,1070867.25"
"2010,""United Kingdom"",""CAR"",2293577.98,0,2293577.98,""GBP "",""0.650000"",1500000,0,1500000"
"2010,""United Kingdom"",""DRC"",78399500,0,78399500,""GBP "",""0.630000"",49419152,0,49419152"
"2010,""United Kingdom"",""oPt"",1600000,0,1600000,""GBP"",""0.630000"",1000000,0,1000000"
"2010,""United Kingdom"",""Pakistan"",7824726.13,0,7824726.13,""GBP"",""0.640000"",5000000,0,5000000"
"2010,""United Kingdom"",""Somalia"",6100000,0,6100000,""USD "",""1.000000"",6100000,0,6100000"
"2010,""United Kingdom"",""Yemen"",792393.03,0,792393.03,""GBP"",""0.630000"",500000,0,500000"
"2010,""Viet Nam"",""Haiti"",130000,0,130000,""USD"",""1.000000"",130000,0,130000"
"2011,""Australia"",""DRC"",4268000,0,4268000,""AUD "",""0.930000"",3956436,0,3956436"
"2011,""Australia"",""Somalia"",3098400,0,3098400,""AUD "",""0.970000"",3002350,0,3002350"
"2011,""Australia"",""Sudan"",4062400,0,4062400,""AUD "",""0.990000"",4005526,0,4005526"
"2011,""Australia"",""Yemen"",1036272.73,0,1036272.73,""AUD"",""0.960000"",1000003.18,0,1000003.18"
"2011,""Azerbaijan"",""Somalia"",100000,0,100000,""USD "",""1.000000"",100000,0,100000"
"2011,""Brunei Darussalam"",""Haiti"",61337.58,0,61337.58,""USD"",""1.000000"",61337.58,0,61337.58"
"2011,""Congo, Republic of"",""Haiti"",400000,0,400000,""USD"",""1.000000"",400000,0,400000"
"2011,""Denmark"",""Ethiopia"",5536274,0,5536274,""DKK"",""5.420000"",29999162.24,0,29999162.24"
"2011,""Denmark"",""Somalia"",11201376.56,0,11201376.56,""DKK "",""5.260000"",58874425,0,58874425"
"2011,""Denmark"",""Sudan"",2995594.71,0,2995594.71,""DKK "",""5.680000"",17000000,0,17000000"
"2011,""Finland"",""Somalia"",2811000,0,2811000,""EUR "",""0.730000"",2046408,0,2046408"
"2011,""Guyana"",""Somalia"",75000,0,75000,""USD "",""1.000000"",75000,0,75000"
"2011,""Ireland"",""CAR"",3351745,0,3351745,""EUR "",""0.720000"",2406873,0,2406873"
"2011,""Ireland"",""DRC"",4723355.11,0,4723355.11,""EUR "",""0.720000"",3386962,0,3386962"
"2011,""Ireland"",""Ethiopia"",962128.24,0,962128.24,""EUR"",""0.740000"",710000,0,710000"
"2011,""Ireland"",""Somalia"",3403842.89,0,3403842.89,""EUR "",""0.730000"",2495577,0,2495577"
"2011,""Ireland"",""Sudan"",4014009,0,4014009,""EUR "",""0.720000"",2889001,0,2889001"
"2011,""Ireland"",""Yemen"",273597.81,0,273597.81,""EUR"",""0.730000"",200000,0,200000"
"2011,""Italy"",""Ethiopia"",709610.19,0,709610.19,""EUR"",""0.700000"",498146.35,0,498146.35"
"2011,""Luxembourg"",""DRC"",652200,0,652200,""EUR "",""0.750000"",489150,0,489150"
"2011,""Moldova"",""Haiti"",10308.64,0,10308.64,""USD"",""1.000000"",10308.64,0,10308.64"
"2011,""Montenegro"",""Pakistan"",70316.9,0,70316.9,""EUR"",""0.710000"",49925,0,49925"
"2011,""Netherlands"",""DRC"",5000000,0,5000000,""USD "",""1.000000"",5000000,0,5000000"
"2011,""Netherlands"",""Ethiopia"",6875000,0,6875000,""USD"",""1.000000"",6875000,0,6875000"
"2011,""Netherlands"",""Somalia"",18700000,0,18700000,""USD "",""1.000000"",18700000,0,18700000"
"2011,""Netherlands"",""Sudan"",14375000,0,14375000,""USD "",""1.000000"",14375000,0,14375000"
"2011,""Norway"",""Colombia"",1011518.51,0,1011518.51,""NOK"",""5.930000"",6000327.8,0,6000327.8"
"2011,""Norway"",""DRC"",6945282.42,0,6945282.42,""NOK "",""5.700000"",39611150,0,39611150"
"2011,""Norway"",""Ethiopia"",2120038.32,0,2120038.32,""NOK"",""5.660000"",12000834.12,0,12000834.12"
"2011,""Norway"",""oPt"",1701438.98,0,1701438.98,""NOK"",""5.880000"",9999356.89,0,9999356.89"
"2011,""Norway"",""Pakistan"",1863078.48,0,1863078.48,""NOK"",""5.580000"",10400739.96,0,10400739.96"
"2011,""Norway"",""Somalia"",15420406.66,0,15420406.66,""NOK "",""5.850000"",90134064,0,90134064"
"2011,""Norway"",""Somalia"",239341.25,0,239341.25,""USD "",""1.000000"",239341,0,239341"
"2011,""Norway"",""Sudan"",22753441.25,0,22753441.25,""NOK "",""5.610000"",127612460,0,127612460"
"2011,""Poland"",""Somalia"",297920.51,0,297920.51,""PLN "",""3.390000"",1010546,0,1010546"
"2011,""PRIVATE SECTOR"",""Ethiopia"",93,0,93,""USD"",""1.000000"",93,0,93"
"2011,""PRIVATE SECTOR"",""Pakistan"",26493.91,0,26493.91,""USD"",""1.000000"",26493.91,0,26493.91"
"2011,""PRIVATE SECTOR"",""Somalia"",10000,0,10000,""USD "",""1.000000"",10000,0,10000"
"2011,""San Marino"",""Colombia"",14245.01,0,14245.01,""USD"",""1.000000"",14245.01,0,14245.01"
"2011,""Spain"",""Colombia"",1368941.43,0,1368941.43,""EUR"",""0.730000"",1000000,0,1000000"
"2011,""Spain"",""DRC"",6760950,0,6760950,""EUR "",""0.700000"",4746187,0,4746187"
"2011,""Spain"",""Ethiopia"",682128.24,0,682128.24,""EUR"",""0.730000"",500000,0,500000"
"2011,""Spain"",""oPt"",682128.24,0,682128.24,""EUR"",""0.730000"",500000,0,500000"
"2011,""Spain"",""Sudan"",9350250,0,9350250,""EUR "",""0.700000"",6563876,0,6563876"
"2011,""Sweden"",""CAR"",4874075.36,0,4874075.36,""SEK "",""6.030000"",29385800,0,29385800"
"2011,""Sweden"",""DRC"",17442675.33,0,17442675.33,""SEK "",""6.330000"",110499348,0,110499348"
"2011,""Sweden"",""Ethiopia"",6159600.17,0,6159600.17,""SEK"",""6.490000"",40000443.5,0,40000443.5"
"2011,""Sweden"",""Myanmar"",2199674.17,0,2199674.17,""SEK"",""6.820000"",14999578.17,0,14999578.17"
"2011,""Sweden"",""oPt"",1275600.1,0,1275600.1,""SEK"",""6.270000"",8000563.83,0,8000563.83"
"2011,""Sweden"",""Somalia"",8086100.21,0,8086100.21,""SEK "",""6.640000"",53720317,0,53720317"
"2011,""Sweden"",""Somalia"",200000,0,200000,""USD "",""1.000000"",200000,0,200000"
"2011,""Sweden"",""Sudan"",28378774.59,0,28378774.59,""SEK "",""6.270000"",178020053,0,178020053"
"2011,""Sweden"",""Yemen"",2232161.53,0,2232161.53,""SEK"",""6.720000"",14999505.95,0,14999505.95"
"2011,""Switzerland"",""Ethiopia"",1783534.21,0,1783534.21,""CHF"",""0.840000"",1500000,0,1500000"
"2011,""Switzerland"",""Somalia"",3374374.11,0,3374374.11,""CHF "",""0.890000"",3000474,0,3000474"
"2011,""Switzerland"",""Yemen"",542888.17,0,542888.17,""CHF"",""0.920000"",500000,0,500000"
"2011,""United Kingdom"",""DRC"",35375250,0,35375250,""GBP "",""0.630000"",22416104,0,22416104"
