Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2016-0175-BGD,2016,0175,TC-2016-000052,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Roanu,Bangladesh,BGD,Southern Asia,Asia,"Barisal; Noakhali, Lakshmipur, Chandpur (Chittagong); Cox’s Bazar, Bhola, Barguna, Patuakhali",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2016,5,21,2016,5,21,28,,1083855,119700,1203555,,,,,600000,677404,"88,57345288",2,,5761;5763;5765;5769;5772;5775;5776,"Barguna, Bhola, Chandpur, Cox's Bazar, Lakshmipur, Noakhali, Patuakhali (Adm2). "
2016-0117-ECU,2016,0117,EQ-2016-000035,Natural,Geophysical,Earthquake,Ground movement,,,Ecuador,ECU,South America,Americas,"Guayaquil district (Guayas province), Muisne district (Esmeraldas province), Portoviejo district (Manabi province), Santo Domingo de los Tsachilas, Los Ríos, Santa Elena provinces",,,"Slide (land, mud, snow, rock)",Yes,,Yes,44992,8,Richter,0.382,-79.92,18:58,,2016,4,16,2016,4,16,672,6274,383090,,389364,3344000,3775398,560000,632244,2000000,2258013,"88,57345288",1;2,1147;22007;22008,15388;15423;15483,"Los Rios, Santa Elena, Santo Domingo de los Tsachilas (Adm1). Guayaquil, Muisne, Portoviejo (Adm2). "
2016-0095-CHN,2016,0095,,Natural,Hydrological,Flood,Flash flood,,,China,CHN,Eastern Asia,Asia,"Jiangxi Sheng, Hunan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng provinces",Monsoonal rain,"Slide (land, mud, snow, rock)",Hail,,,,,383224,Km2,24.704,113.991,,,2016,3,19,2016,3,22,5,,216000,3300,219300,,,,,170000,191931,"88,57345288",1,903;904;905;912;914,,"Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hunan Sheng, Jiangxi Sheng (Adm1). "
2016-0137-CHN,2016,0137,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Anhui, Hubei, Fujian, Zhejiang, Jiangxi, Hunan, Guangxi, Yunnan, Guangdong, Guizhou",Heavy rains,"Slide (land, mud, snow, rock)",Storm,,,,,,Km2,,,,Yangtze river,2016,4,20,2016,4,28,20,,48000,,48000,,,,,97000,109514,"88,57345288",1,898;901;903;904;905;911;912;914;929;930,,"Anhui Sheng, Fujian Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hubei Sheng, Hunan Sheng, Jiangxi Sheng, Yunnan Sheng, Zhejiang Sheng (Adm1). "
2016-0041-FJI,2016,0041,TC-2016-000014,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Winston,Fiji,FJI,Melanesia,Oceania,"Savusavu (Cakaudrove district, Northern province, Vanua Levu Isl. and Taveuni Isl.), Bua, Macuata districts (Northern province, Vanua Levu Isl.), Western, Central provinces (Viti Levu, Yasawa, Mamanuca Isl.), Lau district (Eastern province, Vanua Balavu, Nayau Isl.), Lomaiviti district (Eastern province, Koro Isl.)",,Flood,Surge,Yes,Yes,Yes,41862,325,Kph,,,,,2016,2,20,2016,2,21,45,144,540414,,540558,,,50000,56450,600000,677404,"88,57345288",2,,40191;40192;40193;40194;40195;40197;40198;40200;40201;40202;40203;40204;40205,"Ba, Bua, Cakaudrove, Lau, Lomaiviti, Macuata, Nadroga & Navosa, Naitasiri, Namosi, Ra, Rewa, Serua, Tailevu (Adm2). "
2016-0112-AFG,2016,0112,FL-2016-000021,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,"Daykundi, Ghazni, Uruzgan provinces",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2016,4,2,2016,4,8,30,,,,,,,,,,,"88,57345288",1,279;99878;99881,,"Daykundi, Ghazni, Uruzgan (Adm1). "
2016-0191-AFG,2016,0191,,Natural,Hydrological,Flood,,,,Afghanistan,AFG,Southern Asia,Asia,"Badakhshan (Tashkan, Baharak, Darayem, Shahada districts)",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2016,5,9,2016,5,12,6,,,,,,,,,,,"88,57345288",2,,100008;100011;100012;100013,"Baharak, Darayem, Shuhada, Teshkan (Adm2). "
2016-0246-BOL,2016,0246,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Sur Yungas, Nor Yungas, Camacho, Bautista Saavedra districts (La Paz province), Apolo municipality (Franz Tamayo district, La Paz province), Achocalla municipality (Murillo district, La Paz province), Puerto Villaroel municipality (Carrasco district, Cochabamba province), Arani district (Cochabamba province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,190581,Km2,-12.843,-64.93,,,2016,2,28,2016,3,3,,,120,,120,,,,,,,"88,57345288",2,,6174;6175;6185;6189;6190;40463;40469;40487,"Arani, Bautista Saavedra, Camacho, Carrasco, Franz Tamayo, Murillo, Nor Yungas, Sur Yungas (Adm2). "
2016-0077-BRA,2016,0077,,Natural,Hydrological,Flood,Flash flood,,,Brazil,BRA,South America,Americas,"Mairipora, Francisco Morato, Itapevi, Guarulhos, Cajamar districts (Sao Paulo province), Rio de Janeiro province",Torrential arins,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,Pinheiros,2016,3,10,2016,3,11,30,,,,,,,,,100000,112901,"88,57345288",1;2,683,11082;11167;11193;11238;11301,"Rio De Janeiro (Adm1). Cajamar, Francisco Morato, Guarulhos, Itapevi, Mairipora (Adm2). "
2016-0241-CHN,2016,0241,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Jiangsu, Anhui, Jiangxi, Henan, Hubei, Hunan, Guangxi, Chogqing, Sichuan, Guizhou, Yunnan",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,720844,Km2,27.976,114.24,,Yangtze river,2016,6,28,2016,7,13,289,,60000000,,60000000,,,432000,487731,22000000,24838142,"88,57345288",1,898;900;904;905;909;911;912;913;914;924;929,,"Anhui Sheng, Chongqing Shi, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Henan Sheng, Hubei Sheng, Hunan Sheng, Jiangsu Sheng, Jiangxi Sheng, Sichuan Sheng, Yunnan Sheng (Adm1). "
