,Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency),Code,Access to electricity (% of population)_x,Access to electricity (% of population)_y,Primary energy consumption per capita (kWh/person),Life expectancy,People using at least basic sanitation services (% of population),Annual CO2 emissions (per capita),"Average Total Years of Schooling for Adult Population (Lee-Lee (2016), Barro-Lee (2018) and UNDP (2018))",GDP per capita,417485-annotations,"Child mortality (Select Gapminder, v10) (2017)",Prevalence of undernourishment (% of population),People using at least basic drinking water services (% of population)
0,2016,Australia,Afghanistan,5848785.38,0.0,5848785.38,AUD ,1.31,7679455.0,0,7679455.0,AFG,56.0,56.0,10.0,24.0,25.0,11.0,11.0,15.0,142.0,18.0,17.0,129.0
1,2016,Denmark,Afghanistan,4291119.9,0.0,4291119.9,DKK ,7.03,30153936.0,0,30153936.0,AFG,56.0,56.0,10.0,24.0,25.0,11.0,11.0,15.0,142.0,18.0,17.0,129.0
2,2016,Germany,Afghanistan,9066875.0,0.0,9066875.0,EUR ,0.94,8479236.0,0,8479236.0,AFG,56.0,56.0,10.0,24.0,25.0,11.0,11.0,15.0,142.0,18.0,17.0,129.0
3,2016,Netherlands,Afghanistan,6810000.0,0.0,6810000.0,EUR ,0.88,6013230.0,0,6013230.0,AFG,56.0,56.0,10.0,24.0,25.0,11.0,11.0,15.0,142.0,18.0,17.0,129.0
4,2016,Norway,Afghanistan,3571966.11,0.0,3571966.11,NOK ,8.27,29539011.0,0,29539011.0,AFG,56.0,56.0,10.0,24.0,25.0,11.0,11.0,15.0,142.0,18.0,17.0,129.0
5,2016,Sweden,Afghanistan,10471920.0,0.0,10471920.0,SEK ,8.66,90692866.0,0,90692866.0,AFG,56.0,56.0,10.0,24.0,25.0,11.0,11.0,15.0,142.0,18.0,17.0,129.0
6,2016,Switzerland,Afghanistan,399965.0,0.0,399965.0,USD ,1.0,399965.0,0,399965.0,AFG,56.0,56.0,10.0,24.0,25.0,11.0,11.0,15.0,142.0,18.0,17.0,129.0
7,2016,United Kingdom,Afghanistan,21632400.0,0.0,21632400.0,GBP ,0.78,16849955.0,0,16849955.0,AFG,56.0,56.0,10.0,24.0,25.0,11.0,11.0,15.0,142.0,18.0,17.0,129.0
8,2016,Australia,Ethiopia,3160012.13,0.0,3160012.13,AUD,1.33,4215456.18,0,4215456.18,ETH,18.0,18.0,9.0,30.0,1.0,8.0,4.0,11.0,142.0,25.0,31.0,140.0
9,2016,Denmark,Ethiopia,1493988.76,0.0,1493988.76,DKK,6.69,9999266.77,0,9999266.77,ETH,18.0,18.0,9.0,30.0,1.0,8.0,4.0,11.0,142.0,25.0,31.0,140.0
10,2016,Germany,Ethiopia,2254791.43,0.0,2254791.43,EUR,0.89,2000000.0,0,2000000.0,ETH,18.0,18.0,9.0,30.0,1.0,8.0,4.0,11.0,142.0,25.0,31.0,140.0
11,2016,Ireland,Ethiopia,1932059.45,0.0,1932059.45,EUR,0.94,1820000.0,0,1820000.0,ETH,18.0,18.0,9.0,30.0,1.0,8.0,4.0,11.0,142.0,25.0,31.0,140.0
12,2016,"Korea, Republic of",Ethiopia,500000.0,0.0,500000.0,USD,1.0,500000.0,0,500000.0,ETH,18.0,18.0,9.0,30.0,1.0,8.0,4.0,11.0,142.0,25.0,31.0,140.0
13,2016,Sweden,Ethiopia,968768.01,0.0,968768.01,SEK,8.26,8000086.22,0,8000086.22,ETH,18.0,18.0,9.0,30.0,1.0,8.0,4.0,11.0,142.0,25.0,31.0,140.0
14,2016,Switzerland,Ethiopia,1656254.07,0.0,1656254.07,CHF,1.0,1650000.0,0,1650000.0,ETH,18.0,18.0,9.0,30.0,1.0,8.0,4.0,11.0,142.0,25.0,31.0,140.0
15,2016,United Kingdom,Ethiopia,40540879.43,0.0,40540879.43,GBP,0.72,29294000.0,0,29294000.0,ETH,18.0,18.0,9.0,30.0,1.0,8.0,4.0,11.0,142.0,25.0,31.0,140.0
16,2016,United States,Ethiopia,6700000.0,0.0,6700000.0,USD,1.0,6700000.0,0,6700000.0,ETH,18.0,18.0,9.0,30.0,1.0,8.0,4.0,11.0,142.0,25.0,31.0,140.0
17,2016,Australia,Iraq,1518213.43,0.0,1518213.43,AUD,1.32,1999487.09,0,1999487.09,IRQ,70.0,70.0,66.0,45.0,80.0,97.0,44.0,77.0,142.0,46.0,6.0,75.0
18,2016,Belgium,Iraq,3311258.28,0.0,3311258.28,EUR,0.91,3000000.0,0,3000000.0,IRQ,70.0,70.0,66.0,45.0,80.0,97.0,44.0,77.0,142.0,46.0,6.0,75.0
19,2016,Canada,Iraq,374930.36,0.0,374930.36,CAD,1.33,500157.09,0,500157.09,IRQ,70.0,70.0,66.0,45.0,80.0,97.0,44.0,77.0,142.0,46.0,6.0,75.0
20,2016,Cyprus,Iraq,10615.71,0.0,10615.71,EUR,0.94,10000.0,0,10000.0,IRQ,70.0,70.0,66.0,45.0,80.0,97.0,44.0,77.0,142.0,46.0,6.0,75.0
21,2016,Denmark,Iraq,3553457.72,0.0,3553457.72,DKK,7.03,24998575.06,0,24998575.06,IRQ,70.0,70.0,66.0,45.0,80.0,97.0,44.0,77.0,142.0,46.0,6.0,75.0
22,2016,Germany,Iraq,15984809.35,0.0,15984809.35,EUR,0.91,14520131.61,0,14520131.61,IRQ,70.0,70.0,66.0,45.0,80.0,97.0,44.0,77.0,142.0,46.0,6.0,75.0
23,2016,Ireland,Iraq,2733811.93,0.0,2733811.93,EUR,0.91,2500000.0,0,2500000.0,IRQ,70.0,70.0,66.0,45.0,80.0,97.0,44.0,77.0,142.0,46.0,6.0,75.0
24,2016,Netherlands,Iraq,11476634.13,0.0,11476634.13,EUR,0.9,10300000.0,0,10300000.0,IRQ,70.0,70.0,66.0,45.0,80.0,97.0,44.0,77.0,142.0,46.0,6.0,75.0
25,2016,Norway,Iraq,4338306.74,0.0,4338306.74,NOK,8.53,36998894.9,0,36998894.9,IRQ,70.0,70.0,66.0,45.0,80.0,97.0,44.0,77.0,142.0,46.0,6.0,75.0
26,2016,Sweden,Iraq,3791365.79,0.0,3791365.79,SEK,8.44,31999879.71,0,31999879.71,IRQ,70.0,70.0,66.0,45.0,80.0,97.0,44.0,77.0,142.0,46.0,6.0,75.0
