,Year,CBPF Name,Cluster,Total Allocations,Targeted People,Reached People
0,2013,Colombia,Emergency Shelter and NFI,107944.58,0,0
1,2013,Colombia,Food Security,641570.31,0,0
2,2013,Colombia,Water Sanitation Hygiene,150000.0,0,0
3,2013,DRC,Coordination and Support Services,508270.0,20259,0
4,2013,DRC,Education,665000.0,32091,0
5,2013,DRC,Emergency Shelter and NFI,1008805.0,33269,0
6,2013,DRC,Food Security,875000.0,23238,0
7,2013,DRC,Health,1163009.0,305923,0
8,2013,DRC,Logistics,1154994.44,103183,0
9,2013,DRC,Nutrition,261000.0,3290,0
10,2013,DRC,Protection,888820.0,772975,0
11,2013,DRC,Water Sanitation Hygiene,1645000.0,655656,0
12,2013,Ethiopia,Education,368884.0,0,0
13,2013,Ethiopia,Food Security,1348484.72,0,0
14,2013,Ethiopia,Multi-Sector,160512.43,0,0
15,2013,Ethiopia,Nutrition,5477865.82,0,0
16,2013,Ethiopia,Protection,3058421.77,0,0
17,2013,Haiti,Coordination and Support Services,197235.29,0,0
18,2013,Haiti,Health,248775.0,0,0
19,2013,Haiti,Multi-Sector,499234.08,0,0
20,2013,Myanmar,Water Sanitation Hygiene,78945.0,0,0
21,2013,oPt,Emergency Shelter and NFI,247725.0,0,0
22,2013,oPt,Health,204798.0,0,0
23,2013,oPt,Water Sanitation Hygiene,300000.0,0,0
24,2013,Pakistan,Education,499649.0,0,0
25,2013,Pakistan,Emergency Shelter and NFI,2370449.0,0,0
26,2013,Pakistan,Food Security,2058800.0,0,0
27,2013,Pakistan,Health,718744.47,0,0
28,2013,Pakistan,Multi-Sector,1982785.96,0,0
29,2013,Pakistan,Protection,62188.0,0,0
30,2013,Pakistan,Water Sanitation Hygiene,224764.0,0,0
31,2013,Sudan,Camp Coordination / Management,4222224.0,334931,146962
32,2013,Sudan,Coordination and Support Services,1931358.35,959695,1080694
33,2013,Sudan,Early Recovery,1649790.38,209193,232849
34,2013,Sudan,Education,5314500.51,130258,176164
35,2013,Sudan,Emergency Shelter and NFI,1917012.43,457988,170577
36,2013,Sudan,Food Security,6710317.97,1510063,1828558
37,2013,Sudan,Health,4125332.28,4561353,2938479
38,2013,Sudan,Logistics,1064199.96,765000,450004
39,2013,Sudan,Nutrition,3753500.57,487528,681181
40,2013,Sudan,Protection,4409157.390000001,935075,272334
41,2013,Sudan,Water Sanitation Hygiene,5166461.08,944836,1070963
42,2013,Yemen,Coordination and Support Services,457596.2,0,0
43,2013,Yemen,Early Recovery,644375.4,0,0
44,2013,Yemen,Emergency Shelter and NFI,654573.5,0,0
45,2013,Yemen,Food Security,485003.0,0,0
46,2013,Yemen,Health,2406144.33,0,0
47,2013,Yemen,Logistics,488300.0,0,0
48,2013,Yemen,Multi-Sector,1468095.29,0,0
49,2013,Yemen,Nutrition,512456.61,0,0
50,2013,Yemen,Protection,233839.27,0,0
0,2014,Afghanistan,Coordination and Support Services,5535993.58,7575,7008
1,2014,Afghanistan,Emergency Shelter and NFI,646355.62,19466,19133
2,2014,Afghanistan,Health,8959964.24,902219,958564
3,2014,Afghanistan,Multi-Sector,4000916.42,221138,440843
4,2014,Afghanistan,Nutrition,15626755.71,776847,966133
5,2014,CAR,Camp Coordination / Management,373002.47,57614,0
6,2014,CAR,Coordination and Support Services,497550.0,60,60
7,2014,CAR,Early Recovery,250000.0,34273,0
8,2014,CAR,Education,1548775.8679999998,105577,117900
9,2014,CAR,Emergency Shelter and NFI,2962630.769,58641,50165
10,2014,CAR,Emergency Telecommunications,219264.4,35,0
11,2014,CAR,Food Security,1954813.9331,79445,71625
12,2014,CAR,Health,2736254.7009,596958,455933
13,2014,CAR,Nutrition,1826854.2126,282635,200007
14,2014,CAR,Protection,4113717.2296,296523,384705
15,2014,CAR,Water Sanitation Hygiene,4308445.0368,307284,157309
16,2014,Colombia,Education,156724.0,0,0
17,2014,Colombia,Emergency Shelter and NFI,383051.0,0,0
18,2014,Colombia,Health,448107.61,0,0
19,2014,Colombia,Protection,117970.56,0,0
20,2014,Colombia,Water Sanitation Hygiene,1644234.54,0,0
21,2014,DRC,Coordination and Support Services,3796969.75,0,0
22,2014,DRC,Education,1305045.14,23921,2182
23,2014,DRC,Emergency Shelter and NFI,3481034.0195,70146,33651
24,2014,DRC,Food Security,15551304.8931,358378,194929
25,2014,DRC,Health,3576382.92,129883,38210
26,2014,DRC,Logistics,5922331.34,60385,1110
27,2014,DRC,Multi-Sector,7814431.0,535082,0
28,2014,DRC,Nutrition,6753282.9648,106241,90088
29,2014,DRC,Protection,6061375.4022,131457,29520
30,2014,DRC,Water Sanitation Hygiene,5334349.6304,869583,71227
31,2014,Ethiopia,Emergency Shelter and NFI,700000.0,0,0
32,2014,Ethiopia,Health,436123.44,0,0
33,2014,Ethiopia,Logistics,2026626.67,0,0
34,2014,Ethiopia,Nutrition,6747753.15,0,0
35,2014,Ethiopia,Water Sanitation Hygiene,5531485.04,0,0
36,2014,Haiti,Coordination and Support Services,1014028.07,0,0
37,2014,Haiti,Health,1316639.99,0,0
38,2014,Haiti,Multi-Sector,249549.68,0,0
39,2014,Haiti,Nutrition,1174350.56,0,0
40,2014,Haiti,Water Sanitation Hygiene,373923.56,0,0
41,2014,Myanmar,Education,530981.0,0,0
42,2014,Myanmar,Health,630901.04,0,0
43,2014,Myanmar,Protection,1063692.56,0,0
44,2014,Myanmar,Water Sanitation Hygiene,862355.04,0,0
45,2014,oPt,Education,1058250.24,0,0
46,2014,oPt,Emergency Shelter and NFI,1473621.72,0,0
47,2014,oPt,Food Security,8036475.17,0,0
48,2014,oPt,Health,1497963.19,0,0
49,2014,oPt,Protection,2693833.5300000003,0,0
50,2014,oPt,Water Sanitation Hygiene,2761436.11,0,0
51,2014,Pakistan,Education,723614.71,0,0
52,2014,Pakistan,Emergency Shelter and NFI,1200656.39,0,0
53,2014,Pakistan,Food Security,750037.71,0,0
54,2014,Pakistan,Health,1461179.9,0,0
