gwno,country,year,ongoing,gwarea_tot,gwsum_bestdeaths,gwsum_best_sb,gwshare_confl,gwpop,gwpop_confl,gwpopshare_confl,maxintensity,maxcumulativeintensity,peaceyears,peaceyearshigh,postconflict,pop_affected,area_affected
2,United States of America,2016,,9382712,1,0,"0,0002407726133",319735936,737052,"0,002305189846",1,1,0,0,,"0,2305189818","0,02407726087"
20,Canada,2016,0,9879431,0,0,,34809012,0,,,,46,46,0,,
31,Bahamas,2016,0,"12164,18652",0,0,,"357836,8438",0,,,,43,43,0,,
40,Cuba,2016,0,"109496,2734",0,0,,11669745,0,,,,46,46,0,,
41,Haiti,2016,0,"24485,0625",0,0,,9780453,0,,,,11,46,0,,
42,Dominican Republic,2016,0,"47377,96484",0,0,,10895900,0,,,,46,46,0,,
51,Jamaica,2016,0,"11072,67969",0,0,,2973555,0,,,,46,46,0,,
52,Trinidad and Tobago,2016,0,"5030,570313",0,0,,"1408755,25",0,,,,25,46,0,,
53,Barbados,2016,0,"447,9795837",0,0,,"282268,0313",0,,,,46,46,0,,
54,Dominica,2016,0,"772,7320557",0,0,,"79570,625",0,,,,16,16,0,,
55,Grenada,2016,0,"347,6116333",0,0,,"97673,92969",0,,,,16,16,0,,
56,Saint Lucia,2016,0,"637,6237793",0,0,,"232389,8906",0,,,,16,16,0,,
57,Saint Vincent and the Grenadines,2016,0,"343,5394897",0,0,,"99593,25",0,,,,16,16,0,,
58,Antigua & Barbuda,2016,0,"538,6681519",0,0,,"68019,01563",0,,,,16,16,0,,
60,Saint Kitts and Nevis,2016,0,"196,2546997",0,0,,"38550,27344",0,,,,16,16,0,,
70,Mexico,2016,0,"1945287,125",705,0,,124972128,29380354,,,,19,46,0,,
80,Belize,2016,0,"17237,79883",0,0,,"247869,4844",0,,,,35,35,0,,
90,Guatemala,2016,0,"103439,2813",4,0,,16513891,"385344,1875",,,,20,20,0,,
91,Honduras,2016,0,"105542,0313",14,0,,9024521,1405827,,,,46,46,0,,
92,El Salvador,2016,0,"17803,875",0,0,,7692701,0,,,,24,24,0,,
93,Nicaragua,2016,0,"123058,7813",0,0,,"7372944,5",0,,,,25,25,0,,
94,Costa Rica,2016,0,"48480,30859",0,0,,5266297,0,,,,46,46,0,,
95,Panama,2016,0,"71575,04688",0,0,,"3562865,75",0,,,,26,46,0,,
100,Colombia,2016,1,"1109100,375",47,39,"0,03965469822",52542748,8721325,"0,165985316",1,1,,,,"16,59853172","3,965469837"
101,Venezuela,2016,0,"888017,875",0,0,,31931786,0,,,,23,46,0,,
110,Guyana,2016,0,"194284,7344",0,0,,"743771,5",0,,,,46,46,0,,
115,Surinam,2016,0,"141723,625",0,0,,"498777,4063",0,,,,28,41,0,,
130,Ecuador,2016,0,"248618,4063",0,0,,16680492,0,,,,46,46,0,,
135,Peru,2016,0,"1263371,375",11,10,,32265692,"42251,15234",,,,5,5,1,,
140,Brazil,2016,0,8442832,0,0,,203295232,0,,,,46,46,0,,
145,Bolivia,2016,0,"1057319,125",0,0,,11410462,0,,,,46,46,0,,
150,Paraguay,2016,0,"379991,4375",0,0,,"6493211,5",0,,,,26,26,0,,
155,Chile,2016,0,"714097,5",0,0,,17972092,0,,,,42,46,0,,
160,Argentina,2016,0,2742808,0,0,,46054552,0,,,,38,38,0,,
165,Uruguay,2016,0,"172120,4531",0,0,,"3811614,25",0,,,,43,46,0,,
200,United Kingdom,2016,0,"242417,7969",0,0,,60615732,0,,,,17,17,0,,
205,Ireland,2016,0,66776,0,0,,"4446100,5",0,,,,46,46,0,,
210,Netherlands,2016,0,"30445,17578",0,0,,14914991,0,,,,46,46,0,,
211,Belgium,2016,0,"27327,6582",34,2,,12229702,"2485156,25",,,,46,46,0,,
212,Luxembourg,2016,0,"1437,416992",0,0,,"358801,6875",0,,,,46,46,0,,
220,France,2016,0,"536891,125",87,0,,62389832,"1616545,875",,,,46,46,0,,
225,Switzerland,2016,0,"32426,72656",0,0,,5279188,0,,,,46,46,0,,
230,Spain,2016,0,"497612,4688",0,0,,39305204,0,,,,24,46,0,,
235,Portugal,2016,0,"88200,74219",0,0,,10086297,0,,,,46,46,0,,
260,German Federal Republic,2016,0,348078,12,0,,82198784,"1426980,75",,,,46,46,0,,
290,Poland,2016,0,"301964,5625",0,0,,38107484,0,,,,46,46,0,,
305,Austria,2016,0,"75584,59375",0,0,,8152223,0,,,,46,46,0,,
