year,iso,Country Name,gdp_2016,affected_natural,affected_techno,damages_natural,damages_techno,deaths_civilians,death_total
2016,AFG,Afghanistan,18116562464.9088,0.0,20.0,0.0,0.0,1084.0,18719.0
2016,CAF,Central African Republic,1825018190.85071,266.0,0.0,0.0,0.0,511.0,688.0
2016,COD,"Congo, Dem. Rep.",37134799974.5225,15273.0,22.0,0.0,0.0,737.0,2194.0
2016,COG,"Congo, Rep.",10219341017.1383,,,,,42.0,73.0
2016,COL,Colombia,282825009887.458,2284.0,6.0,0.0,0.0,3.0,38.0
2016,ETH,Ethiopia,74296618481.0882,493080.0,9.0,0.0,0.0,451.0,529.0
2016,IRQ,Iraq,166602488747.885,0.0,0.0,0.0,0.0,4489.0,12025.0
2016,JOR,Jordan,39892551126.7606,0.0,36.0,0.0,0.0,3.0,37.0
2016,LBN,Lebanon,51147308773.9304,,,,,5.0,56.0
2016,MMR,Myanmar,60291736893.9397,953350.0,154.0,18741.0,0.0,64.0,183.0
2016,PAK,Pakistan,313629858859.587,11095.0,526.0,2258.0,0.0,384.0,1100.0
2016,SDN,Sudan,102943741648.824,200636.0,29.0,0.0,0.0,790.0,1994.0
2016,SOM,Somalia,5529873479.87157,14165.0,0.0,0.0,0.0,318.0,2065.0
2016,SYR,Syrian Arab Republic,12453459334.7204,,,,,14290.0,53863.0
2016,YEM,"Yemen, Rep.",31317828583.5859,29950.0,0.0,0.0,0.0,647.0,3948.0
