region,country,dyad_name,latitude,longitude,qty_conf,death_total,deaths_civilians
Africa,Central African Republic,3R - Civilians,6.71414,15.35143,1,14,14
Africa,Central African Republic,3R - Civilians,6.779093,15.293645,1,2,2
Africa,Central African Republic,3R - Civilians,6.845106,15.181429,1,2,2
Africa,Central African Republic,3R - Civilians,6.936024,15.449854,1,17,17
Africa,Central African Republic,3R - Civilians,6.983333,15.65,1,15,15
Africa,Central African Republic,3R - anti-Balaka,6.983333,15.65,1,2,0
Africa,Central African Republic,Anti-Balaka - Mokom - Civilians,5.765278,20.674167,1,1,1
Africa,Central African Republic,Anti-Balaka - Mokom - Civilians,5.81522,21.594958,2,24,24
Africa,Central African Republic,"Anti-Balaka - Mokom, FPRC, MPC, RPRC - UPC",6.197114,20.38748,1,29,29
Africa,Central African Republic,"Anti-Balaka - Mokom, FPRC, MPC, RPRC - UPC",6.526124,21.85379,1,1,0
Africa,Central African Republic,"Anti-Balaka - Mokom, FPRC, MPC, RPRC - UPC",6.54233,21.98633,1,117,2
Africa,Central African Republic,Christians (CAR) - Muslims (CAR),4.366667,18.583333,2,14,0
Africa,Central African Republic,Christians (CAR) - Muslims (CAR),5.765278,20.674167,2,8,0
Africa,Central African Republic,FPRC - Civilians,6.0,16.0,1,6,6
Africa,Central African Republic,FPRC - Civilians,6.447811,22.001141,1,5,5
Africa,Central African Republic,FPRC - Civilians,6.526124,21.85379,1,1,1
Africa,Central African Republic,FPRC - Civilians,6.54233,21.98633,1,7,7
Africa,Central African Republic,FPRC - Civilians,6.83333,22.16667,1,2,2
Africa,Central African Republic,FPRC - Civilians,6.983333,19.183333,3,31,31
Africa,Central African Republic,FPRC - UPC,6.75391,22.00395,1,4,3
Africa,Central African Republic,"FPRC, MPC - Civilians",6.983333,19.183333,1,37,37
Africa,Central African Republic,Government of Central African Republic - Civilians,4.366667,18.583333,3,3,3
Africa,Central African Republic,LRA - Civilians,5.095417,24.992984,1,2,2
Africa,Central African Republic,LRA - Civilians,5.222818,22.35322,1,1,1
Africa,Central African Republic,LRA - Civilians,5.399784,26.486881,1,1,1
Africa,Central African Republic,LRA - Civilians,5.550962,25.23299,1,1,1
Africa,Central African Republic,LRA - Civilians,5.741315,24.175254,1,1,1
Africa,Central African Republic,LRA - Civilians,6.137611,22.864256,1,1,1
Africa,Central African Republic,LRA - Civilians,6.377103,22.418727,1,1,1
