"conflict_id","dyad_id","org","side_a_name","side_a_name_fulltext","side_a_name_mothertongue","side_a_id","side_a_components","side_a_2nd","gwno_a_2nd","side_b_name","side_b_name_fulltext","side_b_name_mothertongue","side_b_id","side_b_components","side_b_2nd","gwno_b_2nd","start_date","start_prec","start_date2","start_prec2","ep_end","ep_end_date","ep_end_prec","year","best_fatality_estimate","low_fatality_estimate","high_fatality_estimate","location","gwno_location","region","version"
"9488","10098","3","Fulani","Fulani","Fulani","607","","","","Yoruba","Yoruba","Yoruba","701","","","","1998-01-18","2","2021-06-05","1","0","","0","2021","41","41","81","Nigeria","475","4","22.1"
"9637","10247","3","Konianke","Konianke","Konianke","1713","","","","Kpelle","Kpelle","Kpelle","1141","","","","2013-07-15","1","2013-07-17","2","1","2013-07-17","2","2013","98","98","98","Guinea","438","4","22.1"
"9668","10278","3","Arab","Arab","Arab","1012","","","","Masalit","Masalit","Masalit","993","","","","2020-07-19","1","2021-01-17","2","0","","0","2021","412","412","463","Sudan","625","4","22.1"
"9691","10301","3","Northern Sudanese","Northern Sudanese","Northern Sudanese","1972","","","","Southern Sudanese","Southern Sudanese","Southern Sudanese","1973","","","","2005-08-03","2","2005-08-03","2","1","2005-08-03","2","2005","130","130","130","Sudan","625","4","22.1"
"9708","10318","3","Habaniya","Habaniya","Habaniya","615","","","","Salamat Baggara","Salamat Baggara","Salamat Baggara","994","","","","2007-01-08","1","2017-05-10","3","1","2017-05-10","3","2017","41","41","41","Sudan","625","4","22.1"
"9940","10550","3","Bete","Bete","Bété","1296","","","","Senufo","Senufo","Senufo","1111","","","","2002-12-31","5","2004-12-23","1","1","2004-12-23","1","2004","25","24","29","Ivory Coast","437","4","22.1"
"10066","10676","1","Hizb-i Wahdat","Unity Party","Hizb-i Wahdat","300","","","","Junbish-i Milli-yi Islami","National Islamic Movement","Junbish-i Milli-yi Islami","302","","","","1995-02-20","2","1998-03-15","2","1","1998-03-19","1","1998","101","101","101","Afghanistan","700","3","22.1"
"10072","10682","1","Forces of Sayed Mansur Naderi","Forces of Sayed Mansur Naderi","Forces of Sayed Mansur Naderi","2518","","","","Hizb-i Islami-yi Afghanistan","Islamic Party of Afghanistan","Hizb-i Islami-yi Afghanistan","299","","","","1995-09-30","3","1995-10-29","1","1","1995-10-29","1","1995","40","40","40","Afghanistan","700","3","22.1"
"10289","10899","1","NSCN-K","National Socialist Council of Nagaland- Khaplang faction","n/a","224","","","","NSCN-K-K","National Socialist Council of Nagaland-Khole-Kitovi Faction","n/a","2430","","","","2011-12-22","1","2012-06-19","1","1","2012-12-17","1","2012","54","52","54","India","750","3","22.1"
"10310","10920","3","Han Chinese","Han Chinese","Han Chinese","2460","","","","Uighur","Uighur","Uighur","2461","","","","2009-06-26","1","2009-07-07","2","1","2009-07-07","2","2009","187","187","683","China","710","3","22.1"
