Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency)
2014,"Australia","Afghanistan",371040,0,371040,"AUD ","1.080000",399981,0,399981
2014,"Australia","Myanmar",1881400,0,1881400,"AUD","1.060000",1999928.2,0,1999928.2
2014,"Australia","Somalia",4383984.65,0,4383984.65,"AUD ","1.150000",5024046,0,5024046
2014,"Australia","South Sudan",7009884.66,0,7009884.66,"AUD ","1.140000",8012320,0,8012320
2014,"Belgium","DRC",6255700,0,6255700,"EUR ","0.800000",5005920,0,5005920
2014,"Belgium","South Sudan",6276525.01,0,6276525.01,"EUR ","0.770000",4818868,0,4818868
2014,"Canada","Syria Cross border",4175016.7,0,4175016.7,"CAD","1.200000",5001670.01,0,5001670.01
2014,"Denmark","CAR",5549167.15,0,5549167.15,"DKK ","5.430000",30133337,0,30133337
2014,"Denmark","Lebanon",1004049.67,0,1004049.67,"DKK","5.980000",6000200.83,0,6000200.83
2014,"Denmark","oPt",982912.98,0,982912.98,"DKK","5.600000",5500381.04,0,5500381.04
2014,"Denmark","Somalia",5602588.94,0,5602588.94,"DKK ","5.460000",30587896,0,30587896
2014,"Denmark","South Sudan",8316944.22,0,8316944.22,"DKK ","5.470000",45488205,0,45488205
2014,"Denmark","Sudan",1868600.04,0,1868600.04,"DKK ","5.450000",10191345,0,10191345
2014,"Denmark","Syria Cross border",2342782.56,0,2342782.56,"DKK","5.980000",14000468.58,0,14000468.58
2014,"Denmark","Yemen",3425896.28,0,3425896.28,"DKK","5.840000",20000542.47,0,20000542.47
2014,"Finland","Somalia",1860600,0,1860600,"EUR ","0.800000",1486619,0,1486619
2014,"France","Syria Cross border",622665.01,0,622665.01,"EUR","0.800000",500000,0,500000
2014,"Germany","Jordan",1239157.37,0,1239157.37,"EUR","0.810000",1000000,0,1000000
2014,"Germany","Lebanon",2478314.75,0,2478314.75,"EUR","0.810000",2000000,0,2000000
2014,"Germany","oPt",627500,0,627500,"EUR","0.800000",500117.5,0,500117.5
2014,"Germany","Somalia",1255980,0,1255980,"EUR ","0.790000",995992,0,995992
2014,"Germany","South Sudan",1957850,0,1957850,"EUR ","0.770000",1498536,0,1498536
2014,"Germany","Syria",2478314.75,0,2478314.75,"EUR","0.810000",2000000,0,2000000
2014,"Germany","Syria Cross border",7456637.37,0,7456637.37,"EUR","0.800000",5998853.92,0,5998853.92
2014,"Germany","Yemen",2504600,0,2504600,"EUR","0.800000",2001175.4,0,2001175.4
2014,"Iceland","oPt",130000,0,130000,"ISK","115.720000",15043600,0,15043600
2014,"India","Jordan",500000,0,500000,"USD","1.000000",500000,0,500000
2014,"India","Lebanon",500000,0,500000,"USD","1.000000",500000,0,500000
2014,"India","Syria",1000000,0,1000000,"USD","1.000000",1000000,0,1000000
2014,"Ireland","CAR",3988740,0,3988740,"EUR ","0.730000",2922150,0,2922150
2014,"Ireland","DRC",4573990,0,4573990,"EUR ","0.760000",3476759,0,3476759
2014,"Ireland","Ethiopia",679347.83,0,679347.83,"EUR","0.740000",500000,0,500000
2014,"Ireland","oPt",133689.84,0,133689.84,"EUR","0.750000",100000,0,100000
2014,"Ireland","Somalia",4042340,0,4042340,"EUR ","0.740000",2977356,0,2977356
2014,"Ireland","South Sudan",4020240,0,4020240,"EUR ","0.740000",2972404,0,2972404
2014,"Ireland","Sudan",3211790,0,3211790,"EUR ","0.770000",2480991,0,2480991
2014,"Korea, Republic of","Afghanistan",6000000,0,6000000,"USD ","1.000000",6000000,0,6000000
2014,"Korea, Republic of","Yemen",300000,0,300000,"USD","1.000000",300000,0,300000
2014,"Luxembourg","CAR",341525,0,341525,"EUR ","0.720000",246923,0,246923
2014,"Luxembourg","DRC",344025.01,0,344025.01,"EUR ","0.730000",250106,0,250106
2014,"Luxembourg","Syria",317662.01,0,317662.01,"EUR","0.790000",250000,0,250000
2014,"Netherlands","CAR",16688500,0,16688500,"EUR ","0.790000",13109155,0,13109155
2014,"Netherlands","DRC",4605263,0,4605263,"USD ","1.000000",4605263,0,4605263
2014,"Netherlands","Somalia",1268400,0,1268400,"EUR ","0.790000",998231,0,998231
2014,"Netherlands","South Sudan",15665100,0,15665100,"EUR ","0.760000",11907673,0,11907673
2014,"Netherlands","Sudan",3154750,0,3154750,"EUR ","0.790000",2482788,0,2482788
2014,"Netherlands","Yemen",2717391.3,0,2717391.3,"EUR","0.740000",2000000,0,2000000
2014,"Norway","Afghanistan",1340450.57,0,1340450.57,"NOK ","5.970000",7997128,0,7997128
2014,"Norway","CAR",4912782.42,0,4912782.42,"NOK ","6.110000",29997718,0,29997718
2014,"Norway","Colombia",483932.24,0,483932.24,"NOK","6.200000",2999895.96,0,2999895.96
2014,"Norway","DRC",4640483.58,0,4640483.58,"NOK ","6.350000",29470272,0,29470272
2014,"Norway","Ethiopia",688136.53,0,688136.53,"NOK","7.270000",5000000.03,0,5000000.03
2014,"Norway","South Sudan",11378413.04,0,11378413.04,"NOK ","6.180000",70298913,0,70298913
2014,"Norway","Sudan",9861371.39,0,9861371.39,"NOK ","6.110000",60227197,0,60227197
2014,"Norway","Syria Cross border",2064409.58,0,2064409.58,"NOK","7.270000",15000000.01,0,15000000.01
2014,"PRIVATE SECTOR","Ethiopia",4108.11,0,4108.11,"USD","1.000000",4108.11,0,4108.11
2014,"Qatar","Syria Cross border",19999960,0,19999960,"USD","1.000000",19999960,0,19999960
2014,"Spain","Colombia",317525,0,317525,"EUR","0.790000",249892.18,0,249892.18
2014,"Spain","oPt",317662.01,0,317662.01,"EUR","0.790000",250000,0,250000
2014,"Spain","Syria",1169786.09,0,1169786.09,"EUR","0.750000",875000,0,875000
2014,"Spain","Syria Cross border",501336.9,0,501336.9,"EUR","0.750000",375000,0,375000
2014,"Sweden","Afghanistan",11970374.6,0,11970374.6,"SEK ","6.560000",78489746,0,78489746
2014,"Sweden","CAR",3667225.15,0,3667225.15,"SEK ","6.760000",24775773,0,24775773
2014,"Sweden","Colombia",583000.04,0,583000.04,"SEK","6.860000",3999963.27,0,3999963.27
2014,"Sweden","DRC",7933175.34,0,7933175.34,"SEK ","7.400000",58673765,0,58673765
2014,"Sweden","Ethiopia",3450492.92,0,3450492.92,"SEK","7.250000",25000316.84,0,25000316.84
2014,"Sweden","Haiti",1457500.1,0,1457500.1,"SEK","6.860000",9999908.18,0,9999908.18
2014,"Sweden","Jordan",660796.39,0,660796.39,"SEK","7.570000",5000246.3,0,5000246.3
2014,"Sweden","Lebanon",660796.39,0,660796.39,"SEK","7.570000",5000246.3,0,5000246.3
2014,"Sweden","Myanmar",728750.05,0,728750.05,"SEK","6.860000",4999954.09,0,4999954.09
2014,"Sweden","oPt",2845150.14,0,2845150.14,"SEK","7.030000",19999270.5,0,19999270.5
2014,"Sweden","Pakistan",8665802.83,0,8665802.83,"SEK","7.270000",63001642.32,0,63001642.32
2014,"Sweden","Somalia",10660600.65,0,10660600.65,"SEK ","6.910000",73715418,0,73715418
2014,"Sweden","South Sudan",33224824.35,0,33224824.35,"SEK ","6.990000",232116789,0,232116789
2014,"Sweden","Sudan",10559474.61,0,10559474.61,"SEK ","6.560000",69238475,0,69238475
2014,"Sweden","Syria",1321592.78,0,1321592.78,"SEK","7.570000",10000492.6,0,10000492.6
2014,"Sweden","Syria Cross border",1982389.18,0,1982389.18,"SEK","7.570000",15000738.9,0,15000738.9
2014,"Sweden","Yemen",4372500.3,0,4372500.3,"SEK","6.860000",29999724.53,0,29999724.53
2014,"Switzerland","CAR",1614797.64,0,1614797.64,"CHF ","0.920000",1488663,0,1488663
2014,"Switzerland","Colombia",368421,0,368421,"CHF","0.960000",354052.58,0,354052.58
2014,"Switzerland","Ethiopia",989010.99,0,989010.99,"CHF","0.910000",900000,0,900000
2014,"Switzerland","oPt",2711434.72,0,2711434.72,"CHF","0.930000",2513999.98,0,2513999.98
2014,"Switzerland","Somalia",2039941.04,0,2039941.04,"CHF ","0.930000",1890360,0,1890360
2014,"Switzerland","South Sudan",2049511.15,0,2049511.15,"CHF ","0.970000",1981825,0,1981825
2014,"Switzerland","Sudan",1087686.86,0,1087686.86,"CHF ","0.920000",1002910,0,1002910
2014,"Switzerland","Syria Cross border",1828456.84,0,1828456.84,"CHF","0.930000",1700000,0,1700000
2014,"Switzerland","Yemen",1013171.23,0,1013171.23,"CHF","0.990000",1000000,0,1000000
2014,"United Kingdom","Afghanistan",25881600,0,25881600,"GBP ","0.610000",15909989,0,15909989
2014,"United Kingdom","CAR",1671681.71,0,1671681.71,"GBP ","0.600000",999666,0,999666
2014,"United Kingdom","DRC",30622300,0,30622300,"GBP ","0.620000",18890688,0,18890688
2014,"United Kingdom","Ethiopia",14598519.05,0,14598519.05,"GBP","0.620000",9000000,0,9000000
2014,"United Kingdom","Haiti",1659000,0,1659000,"GBP","0.600000",1000377,0,1000377
2014,"United Kingdom","Myanmar",1658503.4,0,1658503.4,"GBP","0.600000",1000000,0,1000000
2014,"United Kingdom","Somalia",10975300,0,10975300,"GBP ","0.630000",6947365,0,6947365
2014,"United Kingdom","South Sudan",42510000,0,42510000,"GBP ","0.590000",24995880,0,24995880
2014,"United Kingdom","Sudan",22346951.73,0,22346951.73,"GBP ","0.620000",13858079,0,13858079
2014,"United Kingdom","Syria Cross border",5329153.6,0,5329153.6,"GBP","0.640000",3400000,0,3400000
2014,"United Kingdom","Yemen",7913520.18,0,7913520.18,"GBP","0.620000",4900000,0,4900000
2014,"UNOCHA","Afghanistan",1087230.72,0,1087230.72,"USD ","1.000000",1087231,0,1087231
