,Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency)
0,2006,Netherlands,Ethiopia,5012000.0,0.0,5012000.0,USD,1.0,5012000.0,0,5012000.0
1,2006,Norway,Ethiopia,1553277.0,0.0,1553277.0,USD,1.0,1553277.0,0,1553277.0
2,2006,Switzerland,Ethiopia,247934.0,0.0,247934.0,CHF,1.21,300000.14,0,300000.14
3,2006,United Kingdom,Ethiopia,8861284.0,0.0,8861284.0,GBP,0.56,5000000.2,0,5000000.2
0,2007,Netherlands,Ethiopia,3395940.0,0.0,3395940.0,USD,1.0,3395940.0,0,3395940.0
1,2007,Norway,Ethiopia,2022775.61,0.0,2022775.61,NOK,5.44,10999673.72,0,10999673.72
2,2007,Norway,Haiti,1833920.19,0.0,1833920.19,NOK,5.45,10000366.8,0,10000366.8
3,2007,Spain,oPt,4000000.0,0.0,4000000.0,EUR,0.75,3000000.0,0,3000000.0
4,2007,Sweden,Ethiopia,577564.8,0.0,577564.8,SEK,6.93,4000213.8,0,4000213.8
5,2007,Sweden,oPt,1469495.63,0.0,1469495.63,SEK,6.8,9999917.76,0,9999917.76
6,2007,United Kingdom,Ethiopia,7632793.06,0.0,7632793.06,GBP,0.5,3800000.14,0,3800000.14
7,2007,United Kingdom,Myanmar,801603.21,0.0,801603.21,GBP,0.5,400000.0,0,400000.0
0,2008,Ireland,Ethiopia,4352602.22,0.0,4352602.22,EUR,0.75,3285000.0,0,3285000.0
1,2008,Italy,Ethiopia,857232.7,0.0,857232.7,EUR,0.64,545200.0,0,545200.0
2,2008,Netherlands,Ethiopia,25675584.0,0.0,25675584.0,USD,1.0,25675584.0,0,25675584.0
3,2008,Norway,Ethiopia,2644227.99,0.0,2644227.99,NOK,5.67,14999632.4,0,14999632.4
4,2008,Norway,Haiti,367060.55,0.0,367060.55,NOK,5.45,2000112.94,0,2000112.94
5,2008,Norway,oPt,713840.03,0.0,713840.03,NOK,7.0,4999735.57,0,4999735.57
