Year,CBPF Name,Cluster,Total Allocations,Targeted People,Reached People
2018,"Afghanistan","Coordination and Support Services",1236704.4100000001,20590,28770
2018,"Afghanistan","Education",1779120.808,30148,29414
2018,"Afghanistan","Emergency Shelter and NFI",19510314.5627,585190,451905
2018,"Afghanistan","Food Security",7439074.7432,366241,391535
2018,"Afghanistan","Health",7489865.209000001,1198145,1479740
2018,"Afghanistan","Nutrition",12496483.5242,570410,868242
2018,"Afghanistan","Protection",3468618.0673,190539,253429
2018,"Afghanistan","Water Sanitation Hygiene",9164588.6156,703352,688894
2018,"CAR","Camp Coordination / Management",570259.9153999999,73695,75741
2018,"CAR","Early Recovery",1489030.1,84330,73341
2018,"CAR","Education",1826805.1372,70559,106991
2018,"CAR","Emergency Shelter and NFI",2403582.5182999996,156065,150683
2018,"CAR","Emergency Telecommunications",400000.01,6,4
2018,"CAR","Food Security",3552961.5481000002,117556,121580
2018,"CAR","Health",3321145.486,898574,854788
2018,"CAR","Logistics",3141169.75,308,458
2018,"CAR","Nutrition",3997222.894,192782,156235
2018,"CAR","Protection",3540286.161,431345,407803
2018,"CAR","Water Sanitation Hygiene",4150356.46,340234,347790
2018,"DRC","Education",5684079.603999999,147866,174204
2018,"DRC","Emergency Shelter and NFI",6963977.919,211604,227507
2018,"DRC","Food Security",15078065.8929,356747,396752
2018,"DRC","Health",9284785.99992,638148,994495
2018,"DRC","Logistics",4428559.068035999,121274,128680
2018,"DRC","Multi-Sector",5320181.79,82280,162227
2018,"DRC","Nutrition",6360554.947480001,164182,159853
2018,"DRC","Protection",7415900.217099999,526575,565237
2018,"DRC","Water Sanitation Hygiene",7984918.281564001,609040,1469092
2018,"Ethiopia","Education",1987364.28,51751,47289
2018,"Ethiopia","Emergency Shelter and NFI",12173320.888600001,906138,1293515
2018,"Ethiopia","Food Security",5700887,1210388,1614875
2018,"Ethiopia","Health",15272084.811500002,3888221,4157789
2018,"Ethiopia","Nutrition",26253103.448100004,1406969,1502840
2018,"Ethiopia","Protection",6263955.851199999,1392712,797824
2018,"Ethiopia","Water Sanitation Hygiene",17016819.560599998,1948985,2208909
2018,"Iraq","Camp Coordination / Management",1120898.3221,186537,322032
2018,"Iraq","Coordination and Support Services",2381378.9825,596360,618897
2018,"Iraq","Early Recovery",497998.97000000003,1177,1455
2018,"Iraq","Education",2156952.15,42272,52096
2018,"Iraq","Emergency Shelter and NFI",4857839.9054000005,166162,241940
2018,"Iraq","Food Security",1635200.64,34830,48020
2018,"Iraq","Health",7775514.350000001,10960890,8810424
2018,"Iraq","Logistics",858970.8,5,5
2018,"Iraq","Multi-Sector",4445851.29,115378,116612
2018,"Iraq","Protection",5521140.029999999,237988,215745
2018,"Iraq","Water Sanitation Hygiene",5339192.22,361280,452671
2018,"Jordan","Education",600003.04,3060,4179
2018,"Jordan","Emergency Shelter and NFI",3951147.6799999997,76647,106491
2018,"Jordan","Food Security",55241.76,19537,36093
2018,"Jordan","Health",3102504.75,4933,8183
2018,"Jordan","Protection",1808378.74,14811,16947
2018,"Jordan","Water Sanitation Hygiene",855241.76,36149,87479
2018,"Lebanon","Coordination and Support Services",53125.5,100,100
2018,"Lebanon","Emergency Shelter and NFI",6268811.140000001,63541,71111
2018,"Lebanon","Health",3230512.8367999997,10525,13688
2018,"Lebanon","Protection",5143473.1832,41476,55516
2018,"Myanmar","Camp Coordination / Management",47999.9964,2739,5320
2018,"Myanmar","Education",1385119.1937,63162,65494
2018,"Myanmar","Emergency Shelter and NFI",2606531.9649,53226,70893
2018,"Myanmar","Food Security",2568131.3487,152080,209725
2018,"Myanmar","Health",1946773.2275999999,240440,258888
2018,"Myanmar","Nutrition",670949.5861,29715,28000
2018,"Myanmar","Protection",1805621.4605999999,140019,150270
2018,"Myanmar","Water Sanitation Hygiene",1784725.742,88543,95684
2018,"Nigeria","Education",2017428.8599999999,66956,72326
2018,"Nigeria","Emergency Shelter and NFI",9220186.9454,410001,629202
2018,"Nigeria","Food Security",1099631.8496,9760,8815
2018,"Nigeria","Health",6864725.12,6910594,6961494
2018,"Nigeria","Logistics",4199628.01,28500,45165
2018,"Nigeria","Nutrition",2289838.67,271244,404128
2018,"Nigeria","Protection",4684302.6558799995,320805,351271
2018,"Nigeria","Water Sanitation Hygiene",5691181.40912,1119976,1444186
2018,"oPt","Education",585193.99,15233,16418
2018,"oPt","Emergency Shelter and NFI",1998553.37,4755,5011
2018,"oPt","Food Security",2992974.4672,66417,83564
2018,"oPt","Health",8248389.2928,1450215,1555605
2018,"oPt","Protection",2900815.16,64488,83044
2018,"oPt","Water Sanitation Hygiene",4447007.17,1627627,1704644
2018,"Pakistan","Emergency Shelter and NFI",649943.34,4620,4626
2018,"Pakistan","Health",1624996.57,134587,222214
2018,"Pakistan","Water Sanitation Hygiene",3083232.55,160167,207916
2018,"Somalia","Camp Coordination / Management",2589612.7863,183426,197283
2018,"Somalia","Education",4973626.668579999,108280,120380
2018,"Somalia","Emergency Shelter and NFI",6611509.720499999,223954,289164
2018,"Somalia","Food Security",8412748.01692,117838,129107
2018,"Somalia","Health",6359548.270321,698966,701948
2018,"Somalia","Logistics",1100000.03,5700,2103
2018,"Somalia","Multi-Sector",499999.53,10086,10093
2018,"Somalia","Nutrition",5953318.030658,457754,442415
2018,"Somalia","Protection",4979091.669799999,139402,168554
2018,"Somalia","Water Sanitation Hygiene",11487834.646921001,620390,712532
2018,"South Sudan","Camp Coordination / Management",1899673.6099999999,224456,267887
2018,"South Sudan","Education",5114741.43,98230,146022
2018,"South Sudan","Emergency Shelter and NFI",3792291.5,293916,507357
2018,"South Sudan","Food Security",5199238.97,787470,785415
2018,"South Sudan","Health",10517300.91,2411077,2826456
2018,"South Sudan","Logistics",3560000.03,455,472
2018,"South Sudan","Nutrition",8268416.359999999,643520,1018775
2018,"South Sudan","Protection",8633302.56,358077,460677
2018,"South Sudan","Water Sanitation Hygiene",6381002.88,525384,687350
2018,"Sudan","Coordination and Support Services",500000.3,245000,164230
2018,"Sudan","Early Recovery",1251999.11,67342,52917
2018,"Sudan","Education",1322596.106,18246,434724
2018,"Sudan","Emergency Shelter and NFI",547279.4284999999,30999,40007
2018,"Sudan","Food Security",9081393.56194,554073,549954
2018,"Sudan","Health",7992859.3298,2418378,2961382
2018,"Sudan","Logistics",1000000,5400,5636
2018,"Sudan","Multi-Sector",6031409.15,292493,503721
2018,"Sudan","Nutrition",5542302.5154,501308,586960
2018,"Sudan","Protection",1288958.9759999998,82489,344420
2018,"Sudan","Water Sanitation Hygiene",7931048.072360001,1000401,1261137
2018,"Syria","Education",1732997.76,30463,26686
2018,"Syria","Emergency Shelter and NFI",11813362.468799999,453464,494148
2018,"Syria","Food Security",3614808.8310999996,132194,77337
2018,"Syria","Health",5274845.6151,946024,1056241
2018,"Syria","Nutrition",999953.95,67000,67148
2018,"Syria","Protection",4351495.425,152488,153200
2018,"Syria","Water Sanitation Hygiene",9187483.59,1177055,1298241
2018,"Syria Cross border","Camp Coordination / Management",8336158.384299999,314673,302014
2018,"Syria Cross border","Coordination and Support Services",1365949.6324,1524,2150
2018,"Syria Cross border","Education",8983563.3133,205796,253004
