Year,CBPF Name,Cluster,Total Allocations,Targeted People,Reached People
2015,"Afghanistan","Coordination and Support Services",3357883.78,2080,8338
2015,"Afghanistan","Emergency Shelter and NFI",4184900.5300000003,103819,89288
2015,"Afghanistan","Food Security",1735818.57,57373,49052
2015,"Afghanistan","Health",8377527.1502,1411614,1580636
2015,"Afghanistan","Multi-Sector",6210857.609999999,414035,475785
2015,"Afghanistan","Nutrition",7242785.0600000005,161353,193698
2015,"Afghanistan","Protection",1076152.6798,155064,170160
2015,"Afghanistan","Water Sanitation Hygiene",5575078.6899999995,381991,396652
2015,"CAR","Camp Coordination / Management",2036586.1800000002,81986,88272
2015,"CAR","Early Recovery",2609447.726,128509,126150
2015,"CAR","Education",1889415.59,48862,53738
2015,"CAR","Emergency Shelter and NFI",2709259.38,188691,157664
2015,"CAR","Food Security",3341124.454,99840,119705
2015,"CAR","Health",3592967.9575,250419,254343
2015,"CAR","Logistics",581978.35,35000,48000
2015,"CAR","Nutrition",2368536.34,77596,74752
2015,"CAR","Protection",3641533.0024999995,86972,104829
2015,"CAR","Water Sanitation Hygiene",2444716.25,192391,227324
2015,"Colombia","Early Recovery",74999.37,696,699
2015,"Colombia","Education",130209,0,0
2015,"Colombia","Emergency Shelter and NFI",249596.01,1000,570
2015,"Colombia","Food Security",861849.136,5275,6545
2015,"Colombia","Protection",86274.0597,317,872
2015,"Colombia","Water Sanitation Hygiene",711853.7643,2798,3522
2015,"DRC","Coordination and Support Services",941500,40440,86014
2015,"DRC","Education",1666038.77,53039,94418
2015,"DRC","Emergency Shelter and NFI",6745900.64,194625,349026
2015,"DRC","Food Security",6238099.539999999,156356,138419
2015,"DRC","Health",4718885.84,2009382,2665471
2015,"DRC","Logistics",3698911.16,371583,402424
2015,"DRC","Nutrition",898276.7999999999,22030,32176
2015,"DRC","Protection",1203001,40300,73281
2015,"DRC","Water Sanitation Hygiene",3885829.56,212405,287116
2015,"Ethiopia","Coordination and Support Services",738356.71,400,751
2015,"Ethiopia","Early Recovery",496051.15,0,0
2015,"Ethiopia","Education",282686.51,13380,7406
2015,"Ethiopia","Emergency Shelter and NFI",1200000.21,0,0
2015,"Ethiopia","Food Security",6791870.240499999,445681,558673
2015,"Ethiopia","Health",1000004.88,5309347,5530429
2015,"Ethiopia","Nutrition",14904133.445099998,696547,837496
2015,"Ethiopia","Protection",282686.51,13380,7406
2015,"Ethiopia","Water Sanitation Hygiene",15550760.294400001,1150212,1386119
2015,"Haiti","Coordination and Support Services",656803.3,0,0
2015,"Haiti","Health",571613.88,0,0
2015,"Haiti","Protection",244907.43,100920,0
2015,"Haiti","Water Sanitation Hygiene",629222,3680,0
2015,"Iraq","Camp Coordination / Management",751605.45,0,30109
2015,"Iraq","Early Recovery",803934.1799999999,6582,11904
2015,"Iraq","Education",1815911.6600000001,18740,31261
2015,"Iraq","Emergency Shelter and NFI",1998413.77,24038,27136
2015,"Iraq","Food Security",1100018.45,50000,52932
2015,"Iraq","Health",7796987.95,5626955,4619939
2015,"Iraq","Protection",1481240.67,73425,78950
2015,"Iraq","Water Sanitation Hygiene",6531930.63,2170186,1565119
2015,"Jordan","Early Recovery",397486.09,3400,3668
2015,"Jordan","Education",693513.72,12205,11745
2015,"Jordan","Emergency Shelter and NFI",6002857.88,55619,60493
2015,"Jordan","Health",2799522.09,119109,111828
2015,"Jordan","Multi-Sector",225843.47,50,50
2015,"Jordan","Protection",555136.09,115640,164419
2015,"Jordan","Water Sanitation Hygiene",792743.74,83690,88820
2015,"Lebanon","Early Recovery",126362.195,416,605
2015,"Lebanon","Education",96565.68,1155,8182
2015,"Lebanon","Emergency Shelter and NFI",1664774.5699999998,72126,80010
2015,"Lebanon","Food Security",148698.1,150,170
2015,"Lebanon","Health",408366.057,10423,29134
2015,"Lebanon","Protection",2665023.678,24725,30442
2015,"Lebanon","Water Sanitation Hygiene",360884.25,24840,39824
2015,"Myanmar","Education",1088975.33,16075,17345
2015,"Myanmar","Emergency Shelter and NFI",588060.6594,25745,32457
2015,"Myanmar","Food Security",648470.9395,36660,35714
2015,"Myanmar","Health",1073129.572,99800,92963
2015,"Myanmar","Nutrition",299998.54,5825,2761
2015,"Myanmar","Protection",165857.088,17482,20360
2015,"Myanmar","Water Sanitation Hygiene",1156309.2211,83483,93788
2015,"oPt","Education",494456,10511,11068
2015,"oPt","Emergency Shelter and NFI",2491328.29,6660,6577
2015,"oPt","Food Security",2021435.21,30731,34719
2015,"oPt","Health",499757.8,17500,26657
2015,"oPt","Protection",594090.51,23020,17517
2015,"oPt","Water Sanitation Hygiene",1144052.7,103072,103649
2015,"Pakistan","Camp Coordination / Management",277400.88,5962,5962
2015,"Pakistan","Coordination and Support Services",49990.4,3499000,1818000
2015,"Pakistan","Early Recovery",199990.49,4500,4861
2015,"Pakistan","Education",699918.89,19048,20450
2015,"Pakistan","Emergency Shelter and NFI",917705.75,9491,10879
2015,"Pakistan","Food Security",1600362.99,42121,42626
2015,"Pakistan","Health",1839773.5,189357,199423
2015,"Pakistan","Nutrition",1975469.23,108021,170756
2015,"Pakistan","Protection",1308032.96,22572,13472
2015,"Pakistan","Water Sanitation Hygiene",1348325.26,78711,89027
2015,"Somalia","Education",1980375.2,20510,18620
2015,"Somalia","Emergency Shelter and NFI",1990383.4899999998,146196,142257
2015,"Somalia","Food Security",5490189.88,307231,508534
2015,"Somalia","Health",4741426.890000001,521738,610857
2015,"Somalia","Multi-Sector",2911212.2300000004,10386554,9505313
2015,"Somalia","Nutrition",4678754.38,84435,138140
2015,"Somalia","Protection",2192436.6799999997,266405,43586
