Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency)
2009,"Belgium","DRC",2158273.38,0,2158273.38,"EUR ","0.700000",1500000,0,1500000
2009,"Denmark","Ethiopia",4893091.82,0,4893091.82,"DKK","5.110000",24998806.11,0,24998806.11
2009,"Ireland","CAR",1461072,0,1461072,"EUR ","0.690000",1015445,0,1015445
2009,"Ireland","DRC",738722,0,738722,"EUR ","0.680000",499376,0,499376
2009,"Ireland","Ethiopia",2033132.53,0,2033132.53,"EUR","0.660000",1350000,0,1350000
2009,"Ireland","oPt",661375.66,0,661375.66,"EUR","0.760000",500000,0,500000
2009,"Ireland","Sudan",1480372,0,1480372,"EUR ","0.690000",1018496,0,1018496
2009,"Italy","Ethiopia",1010101,0,1010101,"EUR","0.690000",699999.99,0,699999.99
2009,"Luxembourg","DRC",658761.53,0,658761.53,"EUR ","0.760000",500000,0,500000
2009,"Netherlands","CAR",2941176,0,2941176,"USD ","1.000000",2941176,0,2941176
2009,"Netherlands","DRC",16999970,0,16999970,"USD ","1.000000",16999970,0,16999970
2009,"Netherlands","Ethiopia",15441176,0,15441176,"USD","1.000000",15441176,0,15441176
2009,"Netherlands","oPt",1102941,0,1102941,"USD","1.000000",1102941,0,1102941
2009,"Netherlands","Sudan",23823529,0,23823529,"USD ","1.000000",23823529,0,23823529
2009,"Norway","Colombia",993484.22,0,993484.22,"NOK","5.740000",5699618.97,0,5699618.97
2009,"Norway","DRC",3091160.11,0,3091160.11,"NOK ","6.430000",19891615,0,19891615
2009,"Norway","Ethiopia",2232764.14,0,2232764.14,"NOK","6.270000",13999874.19,0,13999874.19
2009,"Norway","oPt",778258.57,0,778258.57,"NOK","6.420000",5000311.31,0,5000311.31
2009,"Norway","Sudan",15866005.71,0,15866005.71,"NOK ","6.620000",105066084,0,105066084
2009,"Spain","Ethiopia",1443001.44,0,1443001.44,"EUR","0.690000",1000000,0,1000000
2009,"Sweden","CAR",2104324.94,0,2104324.94,"SEK ","6.890000",14498799,0,14498799
2009,"Sweden","Colombia",431790,0,431790,"SEK","6.950000",3000076.92,0,3000076.92
2009,"Sweden","DRC",5635488.25,0,5635488.25,"SEK ","6.950000",39164780,0,39164780
2009,"Sweden","DRC",14201324.45,0,14201324.45,"USD ","1.000000",14201324,0,14201324
2009,"Sweden","Ethiopia",6476849.86,0,6476849.86,"SEK","6.950000",45001152.83,0,45001152.83
2009,"Sweden","Myanmar",1563540.07,0,1563540.07,"SEK","7.030000",10999504.39,0,10999504.39
2009,"Sweden","oPt",3072520.04,0,3072520.04,"SEK","7.160000",22000029.8,0,22000029.8
2009,"Sweden","Sudan",14742024.34,0,14742024.34,"SEK ","7.800000",114927601,0,114927601
2009,"Switzerland","Ethiopia",699300.7,0,699300.7,"CHF","1.000000",700000,0,700000
2009,"Switzerland","oPt",499500.5,0,499500.5,"CHF","1.000000",500000,0,500000
2009,"United Kingdom","CAR",1220000,0,1220000,"GBP ","0.630000",766160,0,766160
2009,"United Kingdom","DRC",25057500,0,25057500,"USD ","1.000000",25057500,0,25057500
2009,"United Kingdom","Ethiopia",11173248.41,0,11173248.41,"GBP","0.630000",7000000,0,7000000
2009,"United Kingdom","Myanmar",414593.7,0,414593.7,"GBP","0.600000",250000,0,250000
2009,"United Kingdom","oPt",1436781.61,0,1436781.61,"GBP","0.700000",1000000,0,1000000
2009,"United Kingdom","Sudan",60100166.94,0,60100166.94,"GBP ","0.600000",36000000,0,36000000
